,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Tyler Durbin kickoff for 65 yds for a touchback ,65,,,,,,,,,,,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,14:35 ,0,0,0, (14:35 - 1st) Trace McSorley run for 5 yds to the PnSt 30 ,5,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
2,2nd and 5 at PSU 30,2nd , 5 , PSU 30,PSU, 1st,14:13 ,0,0,0, (14:13 - 1st) Saquon Barkley run for 19 yds to the PnSt 49 for a 1ST down ,19,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
3,1st and 10 at PSU 49,1st , 10 , PSU 49,PSU, 1st,14:06 ,0,0,0, (14:06 - 1st) Saquon Barkley run for no gain to the PnSt 49 ,0,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
4,2nd and 10 at PSU 49,2nd , 10 , PSU 49,PSU, 1st,13:32 ,0,0,0, (13:32 - 1st) Trace McSorley pass complete to Mike Gesicki for 26 yds to the OhSt 25 for a 1ST down ,26,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
5,1st and 10 at OSU 25,1st , 10 , OSU 25,PSU, 1st,13:05 ,0,0,0, (13:05 - 1st) Trace McSorley run for 8 yds to the OhSt 17 ,8,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
6,2nd and 2 at OSU 17,2nd , 2 , OSU 17,PSU, 1st,12:22 ,0,0,0, (12:22 - 1st) Trace McSorley pass complete to Mike Gesicki for a loss of 4 yards to the OhSt 21 ,-4,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
7,3rd and 6 at OSU 21,3rd , 6 , OSU 21,PSU, 1st,11:50 ,0,0,0, (11:50 - 1st) Trace McSorley run for no gain to the OhSt 21 ,0,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
8,4th and 6 at OSU 21,4th , 6 , OSU 21,PSU, 1st,11:16 ,0,0,0," (11:16 - 1st) Tyler Davis 39 yd FG BLOCKED blocked by TEAM Damon Webb return for no gain to the OhSt 21 OHIO ST Penalty, Offensive Holding (7 Yards) to the OhSt 4 ",,0,0,0,0,0,0,0,0,0,1,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
9,1st and 10 at OSU 4,1st , 10 , OSU 4,OSU, 1st,10:47 ,0,0,0, (10:47 - 1st) Mike Weber run for 6 yds to the OhSt 10 ,6,0,0,0,0,1, Mike Weber ,0,0,0,0,10/23/2016,2016," University Park, PA 16802 ",home,OSU-17.0,56," 107,280",400869645
