,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) P.J. Rosowski kickoff for 65 yds , Miles Sanders return for 29 yds to the PnSt 29 ",65,,,,,,,,,,,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
1,1st and 10 at PSU 29,1st , 10 , PSU 29,PSU, 1st,14:48 ,0,0,0, (14:48 - 1st) Saquon Barkley run for 7 yds to the PnSt 36 ,7,0,0,0,0,1, Saquon Barkley ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
2,2nd and 3 at PSU 36,2nd , 3 , PSU 36,PSU, 1st,14:24 ,0,0,0, (14:24 - 1st) Andre Robinson run for no gain to the PnSt 36 ,0,0,0,0,0,1, Andre Robinson ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
3,3rd and 3 at PSU 36,3rd , 3 , PSU 36,PSU, 1st,13:38 ,0,0,0, (13:38 - 1st) Trace McSorley pass incomplete to Mike Gesicki ,0,1, Trace McSorley,0, Mike Gesicki ,0,0,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
4,4th and 3 at PSU 36,4th , 3 , PSU 36,PSU, 1st,13:27 ,0,0,0," (13:27 - 1st) Blake Gillikin punt for 45 yds , Jazz Peavy returns for no gain to the Wisc 19 ",45,0,0,0,0,0,0,1,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
5,1st and 10 at WIS 19,1st , 10 , WIS 19,WIS, 1st,13:22 ,0,7,-7, (13:22 - 1st) Corey Clement run for 5 yds to the Wisc 24 ,5,0,0,0,0,1, Corey Clement ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
6,2nd and 5 at WIS 24,2nd , 5 , WIS 24,WIS, 1st,12:49 ,0,7,-7, (12:49 - 1st) Corey Clement run for 6 yds to the Wisc 30 for a 1ST down ,6,0,0,0,0,1, Corey Clement ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
7,1st and 10 at WIS 30,1st , 10 , WIS 30,WIS, 1st,12:22 ,0,7,-7, (12:22 - 1st) Corey Clement run for 3 yds to the Wisc 33 ,3,0,0,0,0,1, Corey Clement ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
8,2nd and 7 at WIS 33,2nd , 7 , WIS 33,WIS, 1st,11:46 ,0,7,-7, (11:46 - 1st) Corey Clement run for 2 yds to the Wisc 35 ,2,0,0,0,0,1, Corey Clement ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
9,3rd and 5 at WIS 35,3rd , 5 , WIS 35,WIS, 1st,11:08 ,0,7,-7, (11:08 - 1st) Bart Houston pass complete to Troy Fumagalli for 6 yds to the Wisc 41 for a 1ST down ,6,1, Bart Houston,1, Troy Fumagalli ,0,0,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
10,1st and 10 at WIS 41,1st , 10 , WIS 41,WIS, 1st,10:33 ,0,7,-7, (10:33 - 1st) Corey Clement run for 5 yds to the Wisc 46 ,5,0,0,0,0,1, Corey Clement ,0,0,0,0,12/4/2016,2016," Indianapolis, IN 46225 ",road,WIS-2.5,45," 65,018",400926946
