,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) J.D. Dellinger kickoff for 64 yds , Miles Sanders return for 24 yds to the PURDUE 25 PENN ST Penalty, Offensive Holding (Brandon Polk) to the PnSt 15 ",64,0,0,0,0,0,0,0,0,0,1,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
1,1st and 10 at PSU 15,1st , 10 , PSU 15,PSU, 1st,14:45 ,7,0,7, (14:45 - 1st) Saquon Barkley run for 11 yds to the PnSt 26 for a 1ST down ,11,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
2,1st and 10 at PSU 26,1st , 10 , PSU 26,PSU, 1st,14:05 ,7,0,7, (14:05 - 1st) Trace McSorley pass complete to Saquon Barkley for 12 yds to the PnSt 38 for a 1ST down ,12,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
3,1st and 10 at PSU 38,1st , 10 , PSU 38,PSU, 1st,13:50 ,7,0,7, (13:50 - 1st) Trace McSorley pass complete to Chris Godwin for no gain to the PnSt 38 ,0,1, Trace McSorley,1, Chris Godwin ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
4,2nd and 10 at PSU 38,2nd , 10 , PSU 38,PSU, 1st,13:18 ,7,0,7, (13:18 - 1st) Trace McSorley pass incomplete to Saeed Blacknall ,0,1, Trace McSorley,0, Saeed Blacknall ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
5,3rd and 10 at PSU 38,3rd , 10 , PSU 38,PSU, 1st,13:13 ,7,0,7, (13:13 - 1st) Trace McSorley pass complete to Mike Gesicki for 23 yds to the Prdue 39 for a 1ST down ,23,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
6,1st and 10 at PUR 39,1st , 10 , PUR 39,PSU, 1st,12:45 ,7,0,7, (12:45 - 1st) Saquon Barkley run for a loss of 1 yard to the Prdue 40 ,-1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
7,2nd and 11 at PUR 40,2nd , 11 , PUR 40,PSU, 1st,12:05 ,7,0,7, (12:05 - 1st) Trace McSorley pass complete to Saquon Barkley for 37 yds to the Prdue 3 for a 1ST down ,37,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
8,1st and Goal at PUR 3,1st , Goal , PUR 3,PSU, 1st,11:33 ,7,0,7, (11:33 - 1st) Saquon Barkley 3 Yd Run (Tyler Davis Kick) , 3 ,0,0,0,0,1, (11:33 - 1st) Saquon Barkley,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
9,,,,,PUR, 1st,11:33 ,7,7,0," (11:33 - 1st) Joey Julius kickoff for 61 yds , Brian Lankford-Johnson return for 19 yds to the Prdue 23 ",61,,,,,,,,,,,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
10,1st and 10 at PUR 23,1st , 10 , PUR 23,PUR, 1st,11:15 ,7,7,0, (11:15 - 1st) David Blough pass complete to Cole Herdman for 10 yds to the Prdue 33 for a 1ST down ,10,1, David Blough,1, Cole Herdman ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
11,1st and 10 at PUR 33,1st , 10 , PUR 33,PUR, 1st,10:55 ,7,7,0, (10:55 - 1st) David Blough pass incomplete ,0,1, David Blough,0,0,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
12,2nd and 10 at PUR 33,2nd , 10 , PUR 33,PUR, 1st,10:45 ,7,7,0, (10:45 - 1st) Markell Jones run for 6 yds to the Prdue 39 ,6,0,0,0,0,1, Markell Jones ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
13,3rd and 4 at PUR 39,3rd , 4 , PUR 39,PUR, 1st,10:00 ,7,7,0, (10:00 - 1st) David Blough pass complete to Cameron Posey for 6 yds to the Prdue 45 for a 1ST down ,6,1, David Blough,1, Cameron Posey ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
14,1st and 10 at PUR 45,1st , 10 , PUR 45,PUR, 1st,9:45 ,7,7,0, (9:45 - 1st) Bilal Marshall run for 3 yds to the Prdue 48 ,3,0,0,0,0,1, Bilal Marshall ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
15,2nd and 7 at PUR 48,2nd , 7 , PUR 48,PUR, 1st,9:10 ,7,7,0, (9:10 - 1st) David Blough pass complete to Malik Kimbrough for 4 yds to the PnSt 48 ,4,1, David Blough,1, Malik Kimbrough ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
16,3rd and 3 at PSU 48,3rd , 3 , PSU 48,PUR, 1st,8:30 ,7,7,0, (8:30 - 1st) Markell Jones run for 23 yds to the PnSt 25 for a 1ST down ,23,0,0,0,0,1, Markell Jones ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
17,1st and 10 at PSU 25,1st , 10 , PSU 25,PUR, 1st,7:51 ,7,7,0, (7:51 - 1st) David Blough pass complete to Markell Jones for 8 yds to the PnSt 17 ,8,1, David Blough,1, Markell Jones ,0,0,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
18,2nd and 2 at PSU 17,2nd , 2 , PSU 17,PUR, 1st,7:30 ,7,7,0, (7:30 - 1st) Richie Worship run for 9 yds to the PnSt 8 for a 1ST down ,9,0,0,0,0,1, Richie Worship ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
19,1st and Goal at PSU 8,1st , Goal , PSU 8,PUR, 1st,7:15 ,7,7,0," (7:15 - 1st) PENN ST Penalty, Defensive Offside (Curtis Cothran) to the PnSt 4 ",,0,0,0,0,0,0,0,0,0,1,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
20,1st and Goal at PSU 4,1st , Goal , PSU 4,PUR, 1st,6:53 ,7,7,0," (6:53 - 1st) Worship, Richie rush for 2 yards to the PENNST2, PENALTY PENNST offside 2 yards to the PENNST2, NO PLAY. ",,0,0,0,0,0,0,0,0,0,1,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
21,1st and Goal at PSU 2,1st , Goal , PSU 2,PUR, 1st,6:40 ,7,7,0," (6:40 - 1st) Jones, Markell rush for loss of 1 yard to the PENNST3, PENALTY PENNST face mask 1 yards to the PENNST1, NO PLAY, 1ST DOWN PURDUE. ",-1,0,0,0,0,0,0,0,0,0,1,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
22,1st and Goal at PSU 1,1st , Goal , PSU 1,PUR, 1st,6:26 ,7,7,0, (6:26 - 1st) Markell Jones 1 Yd Run (J.D. Dellinger Kick) , 1 ,0,0,0,0,1, (6:26 - 1st) Markell Jones,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
23,,,,,PSU, 1st,6:26 ,7,7,0, (6:26 - 1st) J.D. Dellinger kickoff for 53 yds ,53,,,,,,,,,,,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
24,1st and 10 at PSU 35,1st , 10 , PSU 35,PSU, 1st,6:20 ,7,7,0, (6:20 - 1st) Trace McSorley run for no gain to the PnSt 35 ,0,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
25,2nd and 10 at PSU 35,2nd , 10 , PSU 35,PSU, 1st,5:45 ,7,7,0, (5:45 - 1st) Trace McSorley sacked by Evan Panfil for a loss of 10 yards to the PnSt 25 ,-10,,,,,,,,,,,10/29/2016,2016," West Lafayette, IN 47907 ",road,PSU-14.5,58," 33,157",400869682
