,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) Kenny Allen kickoff for 65 yds , Miles Sanders return for 18 yds to the MICHIGAN 47 PENN ST Penalty, Offensive Holding (9 Yards) to the PnSt 9 ",65,0,0,0,0,0,0,0,0,0,1,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
1,1st and 10 at PSU 9,1st , 10 , PSU 9,PSU, 1st,14:54 ,0,0,0, (14:54 - 1st) Trace McSorley sacked by Matthew Godin for a loss of 2 yards to the PnSt 7 ,-2,,,,,,,,,,,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
2,2nd and 12 at PSU 7,2nd , 12 , PSU 7,PSU, 1st,14:30 ,0,0,0, (14:30 - 1st) Trace McSorley pass complete to Mike Gesicki for 1 yd to the PnSt 8 ,1,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
3,3rd and 11 at PSU 8,3rd , 11 , PSU 8,PSU, 1st,13:49 ,0,0,0, (13:49 - 1st) Trace McSorley sacked by Chris Wormley for a loss of 7 yards to the PnSt 1 ,-7,,,,,,,,,,,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
4,4th and 18 at PSU 1,4th , 18 , PSU 1,PSU, 1st,13:02 ,0,0,0," (13:02 - 1st) Blake Gillikin punt for 61 yds , Jabrill Peppers returns for 53 yds to the PnSt 9 ",61,0,0,0,0,0,0,1,0,0,0,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
5,1st and Goal at PSU 9,1st , Goal , PSU 9,MICH, 1st,13:02 ,0,7,-7," (13:02 - 1st) MICHIGAN Penalty, Unsportsmanlike Conduct (-15 Yards) to the PnSt 24 ",,0,0,0,0,0,0,0,0,0,1,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
6,1st and Goal at PSU 24,1st , Goal , PSU 24,MICH, 1st,13:00 ,0,7,-7, (13:00 - 1st) Wilton Speight pass complete to Amara Darboh for a loss of 2 yards to the PnSt 26 ,-2,1, Wilton Speight,1, Amara Darboh ,0,0,0,0,0,0,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
7,2nd and 12 at PSU 26,2nd , 12 , PSU 26,MICH, 1st,12:45 ,0,7,-7, (12:45 - 1st) Wilton Speight pass complete to De'Veon Smith for 9 yds to the PnSt 17 ,9,1, Wilton Speight,1, De'Veon Smith ,0,0,0,0,0,0,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
8,3rd and 3 at PSU 17,3rd , 3 , PSU 17,MICH, 1st,12:33 ,0,7,-7, (12:33 - 1st) Wilton Speight pass complete to Khalid Hill for 15 yds to the PnSt 2 for a 1ST down ,15,1, Wilton Speight,1, Khalid Hill ,0,0,0,0,0,0,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
9,1st and Goal at PSU 2,1st , Goal , PSU 2,MICH, 1st,12:22 ,0,7,-7, (12:22 - 1st) De'Veon Smith run for a loss of 1 yard to the PnSt 3 ,-1,0,0,0,0,1, De'Veon Smith ,0,0,0,0,9/24/2016,2016," Ann Arbor, MI 48109 ",road,MICH-15.0,57," 110,319",400869658
