,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Griffin Oakes kickoff for 56 yds , Miles Sanders return for 31 yds to the PnSt 40 ",56,,,,,,,,,,,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
1,1st and 10 at PSU 40,1st , 10 , PSU 40,PSU, 1st,14:30 ,7,0,7, (14:30 - 1st) Trace McSorley run for 3 yds to the PnSt 43 ,3,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
2,2nd and 7 at PSU 43,2nd , 7 , PSU 43,PSU, 1st,14:06 ,7,0,7, (14:06 - 1st) Saquon Barkley run for no gain to the PnSt 43 ,0,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
3,3rd and 7 at PSU 43,3rd , 7 , PSU 43,PSU, 1st,13:40 ,7,0,7, (13:40 - 1st) Trace McSorley pass complete to Saquon Barkley for 32 yds to the Ind 25 for a 1ST down ,32,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
4,1st and 10 at IND 25,1st , 10 , IND 25,PSU, 1st,13:16 ,7,0,7, (13:16 - 1st) Trace McSorley pass complete to Chris Godwin for 17 yds to the Ind 8 for a 1ST down ,17,1, Trace McSorley,1, Chris Godwin ,0,0,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
5,1st and Goal at IND 8,1st , Goal , IND 8,PSU, 1st,13:00 ,7,0,7, (13:00 - 1st) Saquon Barkley run for a loss of 1 yard to the Ind 9 ,-1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
6,2nd and Goal at IND 9,2nd , Goal , IND 9,PSU, 1st,12:28 ,7,0,7," (12:28 - 1st) INDIANA Penalty, Defensive Offside (Jacob Robinson) to the Ind 4 ",,0,0,0,0,0,0,0,0,0,1,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
7,2nd and Goal at IND 4,2nd , Goal , IND 4,PSU, 1st,12:01 ,7,0,7, (12:01 - 1st) Saquon Barkley run for a loss of 6 yards to the Ind 10 ,-6,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
8,3rd and Goal at IND 10,3rd , Goal , IND 10,PSU, 1st,11:28 ,7,0,7," (11:28 - 1st) Trace McSorley run for 10 yds for a TD, (Tyler Davis KICK) ",10,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
9,,,,,IND, 1st,11:28 ,7,0,7, (11:28 - 1st) Joey Julius kickoff for 65 yds for a touchback ,65,,,,,,,,,,,11/12/2016,2016," Bloomington, IN 47408 ",road,PSU-7.0,59," 40,678",400869689
