,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,RUTG, 1st,15:00 ,0,3,-3, (15:00 - 1st) N/A on-side kick recovered by RUTGERS at the PnSt 21 ,,,,,,,,,,,,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
1,1st and 10 at PSU 21,1st , 10 , PSU 21,RUTG, 1st,15:00 ,0,3,-3, (15:00 - 1st) Gus Edwards run for 2 yds to the PnSt 19 ,2,0,0,0,0,1, Gus Edwards ,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
2,2nd and 8 at PSU 19,2nd , 8 , PSU 19,RUTG, 1st,15:00 ,0,3,-3, (15:00 - 1st) Giovanni Rescigno run for 7 yds to the PnSt 12 ,7,0,0,0,0,1, Giovanni Rescigno ,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
3,3rd and 1 at PSU 12,3rd , 1 , PSU 12,RUTG, 1st,15:00 ,0,3,-3," (15:00 - 1st) RUTGERS Penalty, false start (-5 Yards) to the PnSt 17 ",,0,0,0,0,0,0,0,0,0,1,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
4,3rd and 6 at PSU 17,3rd , 6 , PSU 17,RUTG, 1st,15:00 ,0,3,-3, (15:00 - 1st) Giovanni Rescigno pass complete to Jerome Washington for 3 yds to the PnSt 14 ,3,1, Giovanni Rescigno,1, Jerome Washington ,0,0,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
5,4th and 3 at PSU 14,4th , 3 , PSU 14,RUTG, 1st,12:48 ,0,3,-3, (12:48 - 1st) Andrew Harte 33 yd FG GOOD ,,0,0,0,0,0,0,0,1,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
6,,,,,PSU, 1st,12:48 ,0,3,-3," (12:48 - 1st) Justin Davidovicz kickoff for 64 yds , Saquon Barkley return for 30 yds to the PENNST 35 RUTGERS Penalty, personal foul (Damon Mitchell) to the PnSt 46 ",64,0,0,0,0,0,0,0,0,0,1,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
7,1st and 10 at PSU 46,1st , 10 , PSU 46,PSU, 1st,12:41 ,0,3,-3, (12:41 - 1st) Trace McSorley pass complete to Mike Gesicki for 3 yds to the PnSt 49 ,3,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
8,2nd and 7 at PSU 49,2nd , 7 , PSU 49,PSU, 1st,12:41 ,0,3,-3, (12:41 - 1st) Miles Sanders run for 14 yds to the Rutgr 37 for a 1ST down ,14,0,0,0,0,1, Miles Sanders ,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
9,1st and 10 at RUTG 37,1st , 10 , RUTG 37,PSU, 1st,12:41 ,0,3,-3, (12:41 - 1st) Miles Sanders run for 4 yds to the Rutgr 33 ,4,0,0,0,0,1, Miles Sanders ,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
10,2nd and 6 at RUTG 33,2nd , 6 , RUTG 33,PSU, 1st,12:41 ,0,3,-3, (12:41 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/11/2017,2017," University Park, PA 16802 ",home,PSU-31.0,58," 107,531",400935408
