,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Chris Blewitt kickoff for 65 yds for a touchback ,65,,,,,,,,,,,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
2,2nd and 10 at PSU 25,2nd , 10 , PSU 25,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 10 yds to the PnSt 35 for a 1ST down ,10,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
3,1st and 10 at PSU 35,1st , 10 , PSU 35,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 24 yds to the Pitt 41 for a 1ST down ,24,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
4,1st and 10 at PITT 41,1st , 10 , PITT 41,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) PENN ST Penalty, false start (-5 Yards) to the Pitt 46 ",,0,0,0,0,0,0,0,0,0,1,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
5,1st and 15 at PITT 46,1st , 15 , PITT 46,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Saquon Barkley run for 5 yds to the Pitt 41 ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
6,2nd and 10 at PITT 41,2nd , 10 , PITT 41,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 1 yd to the Pitt 40 ,1,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
7,3rd and 9 at PITT 40,3rd , 9 , PITT 40,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) PITTSBURGH Penalty, offside defense (5 Yards) to the Pitt 35 ",,0,0,0,0,0,0,0,0,0,1,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
8,3rd and 4 at PITT 35,3rd , 4 , PITT 35,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
9,4th and 4 at PITT 35,4th , 4 , PITT 35,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) Blake Gillikin punt for 34 yds, downed at the Pitt 1 ",34,0,0,0,0,0,0,1,0,0,0,9/10/2016,2016," Pittsburgh, PA 15260 ",road,PITT-3.5,46," 69,983",400869436
