,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) James Foug kickoff for 65 yds for a touchback ,65,,,,,,,,,,,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,14:37 ,7,0,7, (14:37 - 1st) Trace McSorley pass complete to Juwan Johnson for 6 yds to the PnSt 31 ,6,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
2,2nd and 4 at PSU 31,2nd , 4 , PSU 31,PSU, 1st,14:17 ,7,0,7," (14:17 - 1st) Saquon Barkley run for 69 yds for a TD, (Tyler Davis KICK) ",69,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
3,,,,,MICH, 1st,14:17 ,7,0,7," (14:17 - 1st) Tyler Davis kickoff for 55 yds , Brad Hawkins return for 14 yds to the Mich 24 ",55,,,,,,,,,,,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
4,1st and 10 at MICH 24,1st , 10 , MICH 24,MICH, 1st,13:55 ,7,0,7, (13:55 - 1st) Karan Higdon run for no gain to the Mich 24 ,0,0,0,0,0,1, Karan Higdon ,0,0,0,0,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
5,2nd and 10 at MICH 24,2nd , 10 , MICH 24,MICH, 1st,13:28 ,7,0,7, (13:28 - 1st) Karan Higdon run for 3 yds to the Mich 27 ,3,0,0,0,0,1, Karan Higdon ,0,0,0,0,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
6,3rd and 7 at MICH 27,3rd , 7 , MICH 27,MICH, 1st,12:35 ,7,0,7, (12:35 - 1st) John O'Korn sacked by Curtis Cothran for a loss of 5 yards to the Mich 22 ,-5,,,,,,,,,,,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
7,4th and 12 at MICH 22,4th , 12 , MICH 22,MICH, 1st,12:16 ,7,0,7," (12:16 - 1st) Brad Robbins punt for 48 yds , DeAndre Thompkins returns for 2 yds to the PnSt 24 PENN ST Penalty, Illegal Block (10 Yards) to the PnSt 22 ",48,0,0,0,0,0,0,0,0,0,1,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
8,1st and 10 at PSU 22,1st , 10 , PSU 22,PSU, 1st,12:08 ,14,0,14, (12:08 - 1st) Saquon Barkley run for 5 yds to the PnSt 27 ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
9,2nd and 5 at PSU 27,2nd , 5 , PSU 27,PSU, 1st,11:23 ,14,0,14, (11:23 - 1st) Trace McSorley run for 23 yds to the 50 yard line for a 1ST down ,23,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/22/2017,2017," University Park, PA 16802 ",home,PSU-7.5,43," 110,823",400935386
