,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,14:46 ,7,0,7," (14:46 - 1st) Griffin Oakes kickoff for 63 yds , Saquon Barkley return for 98 yds for a TD, (Tyler Davis KICK) ",63,,,,,,,,,,,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
1,,,,,IND, 1st,14:46 ,7,0,7," (14:46 - 1st) Tyler Davis kickoff for 60 yds , Devonte Williams return for 13 yds to the Ind 18 ",60,,,,,,,,,,,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
2,1st and 10 at IND 18,1st , 10 , IND 18,IND, 1st,14:41 ,7,0,7," (14:41 - 1st) Lagow, Richard pass incomplete to Cobbs, Simmie, PENALTY PSU pass interference (Campbell, C.) 7 yards to the IND25, 1ST DOWN IND, NO PLAY. ",0,0,0,0,0,0,0,0,0,0,1,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
3,1st and 10 at IND 25,1st , 10 , IND 25,IND, 1st,14:41 ,7,0,7," (14:41 - 1st) Morgan Ellison run for 18 yds to the Ind 39 Morgan Ellison fumbled, forced by Christian Campbell, recovered by PnSt Jason Cabinda , return for 4 yds to the Ind 39 ",18,0,0,0,0,1, Morgan Ellison ,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
4,1st and 10 at IND 39,1st , 10 , IND 39,PSU, 1st,14:26 ,14,0,14, (14:26 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 4 yds to the Ind 35 ,4,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
5,2nd and 6 at IND 35,2nd , 6 , IND 35,PSU, 1st,14:26 ,14,0,14, (14:26 - 1st) Trace McSorley pass complete to Juwan Johnson for 24 yds to the Ind 11 for a 1ST down ,24,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
6,1st and 10 at IND 11,1st , 10 , IND 11,PSU, 1st,14:26 ,14,0,14, (14:26 - 1st) Saquon Barkley run for 7 yds to the Ind 4 ,7,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
7,3rd and 1 at IND 2,3rd , 1 , IND 2,PSU, 1st,14:26 ,14,0,14, (14:26 - 1st) Saquon Barkley run for 1 yd to the Ind 1 for a 1ST down ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
8,2nd and 3 at IND 4,2nd , 3 , IND 4,PSU, 1st,14:26 ,14,0,14, (14:26 - 1st) Trace McSorley pass complete to Saquon Barkley for 2 yds to the Ind 2 ,2,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
9,1st and Goal at IND 1,1st , Goal , IND 1,PSU, 1st,11:41 ,14,0,14," (11:41 - 1st) Trace McSorley run for 1 yd for a TD, (Tyler Davis KICK) ",1,0,0,0,0,1, Trace McSorley ,0,0,0,0,9/30/2017,2017," University Park, PA 16802 ",home,PSU-19.0,63," 107,542",400935368
