,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,1st and 10 at OSU 35,1st , 10 , OSU 35,PSU, 1st,14:45 ,7,0,7, (14:45 - 1st) Saquon Barkley 97 Yd Kickoff Return (Tyler Davis Kick) ,,0,0,0,0,0,0,0,0,1,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
1,,,,,OSU, 1st,14:45 ,7,0,7," (14:45 - 1st) Tyler Davis kickoff for 57 yds , Parris Campbell return for 17 yds to the OhSt 25 ",57,,,,,,,,,,,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
2,1st and 10 at OSU 25,1st , 10 , OSU 25,OSU, 1st,14:38 ,7,0,7, (14:38 - 1st) J.T. Barrett run for 5 yds to the OhSt 30 ,5,0,0,0,0,1, J.T. Barrett ,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
3,2nd and 5 at OSU 30,2nd , 5 , OSU 30,OSU, 1st,14:10 ,7,0,7, (14:10 - 1st) J.K. Dobbins run for 14 yds to the OhSt 44 for a 1ST down ,14,0,0,0,0,1, J.K. Dobbins ,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
4,1st and 10 at OSU 44,1st , 10 , OSU 44,OSU, 1st,13:32 ,7,0,7," (13:32 - 1st) J.T. Barrett pass complete to Parris Campbell for 6 yds Parris Campbell fumbled, forced by Manny Bowen, recovered by PnSt Koa Farmer , return for 26 yds to the OhSt 23 ",6,1, J.T. Barrett,1, Parris Campbell ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
5,1st and 10 at OSU 23,1st , 10 , OSU 23,PSU, 1st,13:13 ,14,0,14, (13:13 - 1st) Trace McSorley pass complete to Saquon Barkley for 5 yds to the OhSt 18 ,5,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
6,2nd and 5 at OSU 18,2nd , 5 , OSU 18,PSU, 1st,12:54 ,14,0,14, (12:54 - 1st) Trace McSorley pass complete to Mike Gesicki for 9 yds to the OhSt 9 for a 1ST down ,9,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
7,1st and Goal at OSU 9,1st , Goal , OSU 9,PSU, 1st,12:12 ,14,0,14, (12:12 - 1st) Saquon Barkley run for a loss of 4 yards to the OhSt 13 ,-4,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
8,2nd and Goal at OSU 13,2nd , Goal , OSU 13,PSU, 1st,11:43 ,14,0,14, (11:43 - 1st) Trace McSorley pass incomplete to DaeSean Hamilton ,0,1, Trace McSorley,0, DaeSean Hamilton ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
9,3rd and 0 at OSU 13,3rd , 0 , OSU 13,PSU, 1st,11:36 ,14,0,14, (11:36 - 1st) DaeSean Hamilton 13 Yd pass from Trace McSorley (Tyler Davis Kick) ,,1,Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
10,,,,,OSU, 1st,11:36 ,14,0,14," (11:36 - 1st) Tyler Davis kickoff for 62 yds , K.J. Hill return for 27 yds to the OhSt 30 ",62,,,,,,,,,,,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
11,1st and 10 at OSU 30,1st , 10 , OSU 30,OSU, 1st,11:31 ,14,0,14," (11:31 - 1st) OHIO ST Penalty, False Start (-5 Yards) to the OhSt 25 ",,0,0,0,0,0,0,0,0,0,1,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
12,1st and 15 at OSU 25,1st , 15 , OSU 25,OSU, 1st,11:19 ,14,0,14, (11:19 - 1st) J.T. Barrett pass complete to Mike Weber for a loss of 5 yards to the OhSt 20 ,-5,1, J.T. Barrett,1, Mike Weber ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
13,2nd and 20 at OSU 20,2nd , 20 , OSU 20,OSU, 1st,10:53 ,14,0,14, (10:53 - 1st) J.T. Barrett pass incomplete to Marcus Baugh ,0,1, J.T. Barrett,0, Marcus Baugh ,0,0,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
14,3rd and 20 at OSU 20,3rd , 20 , OSU 20,OSU, 1st,10:43 ,14,0,14, (10:43 - 1st) J.T. Barrett run for 5 yds to the OhSt 25 ,5,0,0,0,0,1, J.T. Barrett ,0,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
15,4th and 15 at OSU 25,4th , 15 , OSU 25,OSU, 1st,10:11 ,14,0,14," (10:11 - 1st) Drue Chrisman punt for 50 yds, fair catch by DeAndre Thompkins at the PnSt 25 ",50,0,0,0,0,0,0,1,0,0,0,10/29/2017,2017," Columbus, OH 43210 ",road,PSU-7.5,70," 109,302",400935394
