,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Miguel Recinos kickoff for 65 yds for a touchback ,65,,,,,,,,,,,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,14:50 ,0,0,0, (14:50 - 1st) Trace McSorley pass complete to Saquon Barkley for 6 yds to the PnSt 31 ,6,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
2,2nd and 4 at PSU 31,2nd , 4 , PSU 31,PSU, 1st,14:29 ,0,0,0, (14:29 - 1st) Saquon Barkley run for 5 yds to the PnSt 36 for a 1ST down ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
3,1st and 10 at PSU 41,1st , 10 , PSU 41,PSU, 1st,14:00 ,0,0,0," (14:00 - 1st) Saquon Barkley run for 5 yds to the PnSt 41 PENN ST Penalty, Offensive Holding (-10 Yards) to the PnSt 31 ",5,0,0,0,0,0,0,0,0,0,1,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
4,1st and 15 at PSU 31,1st , 15 , PSU 31,PSU, 1st,13:27 ,0,0,0, (13:27 - 1st) Trace McSorley sacked by Anthony Nelson for a loss of 3 yards to the PnSt 28 ,-3,,,,,,,,,,,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
5,2nd and 18 at PSU 28,2nd , 18 , PSU 28,PSU, 1st,12:52 ,0,0,0, (12:52 - 1st) Trace McSorley pass complete to Miles Sanders for 6 yds to the PnSt 34 ,6,1, Trace McSorley,1, Miles Sanders ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
6,3rd and 12 at PSU 34,3rd , 12 , PSU 34,PSU, 1st,12:13 ,0,0,0, (12:13 - 1st) Trace McSorley pass complete to Saquon Barkley for 12 yds to the PnSt 46 for a 1ST down ,12,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
7,1st and 10 at PSU 46,1st , 10 , PSU 46,PSU, 1st,11:43 ,0,0,0, (11:43 - 1st) Trace McSorley run for 12 yds to the Iowa 42 for a 1ST down ,12,0,0,0,0,1, Trace McSorley ,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
8,1st and 10 at IOWA 42,1st , 10 , IOWA 42,PSU, 1st,11:08 ,0,0,0, (11:08 - 1st) Trace McSorley run for 7 yds to the Iowa 35 ,7,0,0,0,0,1, Trace McSorley ,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
9,2nd and 3 at IOWA 35,2nd , 3 , IOWA 35,PSU, 1st,10:39 ,0,0,0, (10:39 - 1st) Saquon Barkley run for a loss of 1 yard to the Iowa 36 ,-1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
10,3rd and 4 at IOWA 36,3rd , 4 , IOWA 36,PSU, 1st,10:05 ,0,0,0, (10:05 - 1st) Trace McSorley pass complete to Saquon Barkley for 2 yds to the Iowa 34 ,2,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
11,4th and 2 at IOWA 34,4th , 2 , IOWA 34,PSU, 1st,9:29 ,0,0,0," (9:29 - 1st) PENN ST Penalty, Delay of Game (-5 Yards) to the Iowa 39 ",,0,0,0,0,0,0,0,0,0,1,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
12,4th and 7 at IOWA 39,4th , 7 , IOWA 39,PSU, 1st,9:22 ,0,0,0," (9:22 - 1st) Blake Gillikin punt for 30 yds, fair catch by Joshua Jackson at the Iowa 9 ",30,0,0,0,0,0,0,1,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
13,1st and 10 at IOWA 9,1st , 10 , IOWA 9,IOWA, 1st,9:17 ,0,0,0, (9:17 - 1st) Akrum Wadley run for 1 yd to the Iowa 10 ,1,0,0,0,0,1, Akrum Wadley ,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
14,2nd and 9 at IOWA 10,2nd , 9 , IOWA 10,IOWA, 1st,8:42 ,0,0,0, (8:42 - 1st) Nathan Stanley pass incomplete to Matt VandeBerg ,0,1, Nathan Stanley,0, Matt VandeBerg ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
15,3rd and 9 at IOWA 10,3rd , 9 , IOWA 10,IOWA, 1st,8:39 ,0,0,0, (8:39 - 1st) Nathan Stanley pass incomplete to Noah Fant ,0,1, Nathan Stanley,0, Noah Fant ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
16,4th and 9 at IOWA 10,4th , 9 , IOWA 10,IOWA, 1st,8:32 ,0,0,0," (8:32 - 1st) Colten Rastetter punt for 35 yds, fair catch by DeAndre Thompkins at the Iowa 45 ",35,0,0,0,0,0,0,1,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
17,1st and 10 at IOWA 45,1st , 10 , IOWA 45,PSU, 1st,8:29 ,0,0,0, (8:29 - 1st) Trace McSorley pass incomplete to Mike Gesicki ,0,1, Trace McSorley,0, Mike Gesicki ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
18,2nd and 10 at IOWA 45,2nd , 10 , IOWA 45,PSU, 1st,8:23 ,0,0,0, (8:23 - 1st) Trace McSorley pass incomplete to Saeed Blacknall ,0,1, Trace McSorley,0, Saeed Blacknall ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
19,,,,,PSU, 1st,8:23 ,0,0,0," (8:23 - 1st) Timeout PENN ST, clock 08:23 ",,,,,,,,,,,,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
20,3rd and 10 at IOWA 45,3rd , 10 , IOWA 45,PSU, 1st,8:15 ,0,0,0, (8:15 - 1st) Trace McSorley sacked by Anthony Nelson for a loss of 3 yards to the Iowa 48 ,-3,,,,,,,,,,,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
21,4th and 13 at IOWA 48,4th , 13 , IOWA 48,PSU, 1st,7:36 ,0,0,0," (7:36 - 1st) Blake Gillikin punt for 38 yds, fair catch by Joshua Jackson at the Iowa 10 ",38,0,0,0,0,0,0,1,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
22,1st and 10 at IOWA 10,1st , 10 , IOWA 10,IOWA, 1st,7:33 ,0,0,0, (7:33 - 1st) Nathan Stanley pass incomplete to Matt VandeBerg ,0,1, Nathan Stanley,0, Matt VandeBerg ,0,0,0,0,0,0,9/24/2017,2017," Iowa City, IA 52242 ",road,PSU-13.0,54," 66,205",400935360
