,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Ron Coluzzi kickoff for 65 yds , Miles Sanders return for 48 yds to the PnSt 48 ",65,,,,,,,,,,,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
1,1st and 10 at PSU 48,1st , 10 , PSU 48,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 9 yds to the Iowa 43 ,9,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
2,2nd and 1 at IOWA 43,2nd , 1 , IOWA 43,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 2 yds to the Iowa 41 for a 1ST down ,2,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
3,1st and 10 at IOWA 41,1st , 10 , IOWA 41,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
4,2nd and 10 at IOWA 41,2nd , 10 , IOWA 41,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 8 yds to the Iowa 33 ,8,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
5,3rd and 2 at IOWA 33,3rd , 2 , IOWA 33,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley run for 14 yds to the Iowa 19 for a 1ST down ,14,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
6,1st and 10 at IOWA 19,1st , 10 , IOWA 19,PSU, 1st,12:43 ,7,0,7," (12:43 - 1st) Trace McSorley pass complete to Saeed Blacknall for 19 yds for a TD, (Tyler Davis KICK) ",19,1, Trace McSorley,1, Saeed Blacknall ,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
7,,,,,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) Joey Julius kickoff for 65 yds for a touchback ,65,,,,,,,,,,,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
8,1st and 10 at IOWA 25,1st , 10 , IOWA 25,IOWA, 1st,12:43 ,7,0,7," (12:43 - 1st) LeShun Daniels Jr. run for 6 yds to the Iowa 31 for a 1ST down PENN ST Penalty, face mask (15 yards) (Evan Schwan) to the Iowa 46 for a 1ST down ",6,0,0,0,0,0,0,0,0,0,1,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
9,1st and 10 at IOWA 46,1st , 10 , IOWA 46,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) LeShun Daniels Jr. run for 4 yds to the 50 yard line ,4,0,0,0,0,1, LeShun Daniels Jr. ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
10,2nd and 6 at 50,2nd , 6 , 50,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) LeShun Daniels Jr. run for no gain to the 50 yard line ,0,0,0,0,0,1, LeShun Daniels Jr. ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
11,3rd and 6 at 50,3rd , 6 , 50,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) C.J. Beathard pass complete to Riley McCarron for 7 yds to the PnSt 43 for a 1ST down ,7,1, C.J. Beathard,1, Riley McCarron ,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
12,1st and 10 at PSU 43,1st , 10 , PSU 43,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) Akrum Wadley run for no gain to the PnSt 43 ,0,0,0,0,0,1, Akrum Wadley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
13,2nd and 10 at PSU 43,2nd , 10 , PSU 43,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) C.J. Beathard pass complete to Riley McCarron for 6 yds to the PnSt 37 ,6,1, C.J. Beathard,1, Riley McCarron ,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
14,3rd and 4 at PSU 37,3rd , 4 , PSU 37,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) LeShun Daniels Jr. run for 3 yds to the PnSt 34 ,3,0,0,0,0,1, LeShun Daniels Jr. ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
15,4th and 1 at PSU 34,4th , 1 , PSU 34,IOWA, 1st,12:43 ,7,0,7, (12:43 - 1st) C.J. Beathard run for a loss of 1 yard to the PnSt 35 ,-1,0,0,0,0,1, C.J. Beathard ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
16,1st and 10 at PSU 35,1st , 10 , PSU 35,PSU, 1st,8:56 ,7,0,7, (8:56 - 1st) Trace McSorley pass complete to Chris Godwin for 45 yds to the Iowa 20 for a 1ST down ,45,1, Trace McSorley,1, Chris Godwin ,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
17,1st and 10 at IOWA 20,1st , 10 , IOWA 20,PSU, 1st,8:56 ,7,0,7, (8:56 - 1st) Saquon Barkley run for 5 yds to the Iowa 15 ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
18,2nd and 5 at IOWA 15,2nd , 5 , IOWA 15,PSU, 1st,8:56 ,7,0,7, (8:56 - 1st) Trace McSorley run for 3 yds to the Iowa 12 ,3,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
19,3rd and 2 at IOWA 12,3rd , 2 , IOWA 12,PSU, 1st,8:56 ,7,0,7, (8:56 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
20,4th and 2 at IOWA 12,4th , 2 , IOWA 12,PSU, 1st,7:32 ,7,0,7, (7:32 - 1st) Tyler Davis 30 yd FG BLOCKED blocked by Josey Jewell N/A return for no gain ,,0,0,0,0,0,0,0,1,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
21,1st and 10 at IOWA 20,1st , 10 , IOWA 20,IOWA, 1st,7:32 ,7,0,7," (7:32 - 1st) Akrum Wadley run for 6 yds to the Iowa 26 for a 1ST down PENN ST Penalty, face mask (15 yards) (15 Yards) to the Iowa 41 for a 1ST down ",6,0,0,0,0,0,0,0,0,0,1,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
22,1st and 10 at IOWA 41,1st , 10 , IOWA 41,IOWA, 1st,7:32 ,7,0,7, (7:32 - 1st) LeShun Daniels Jr. run for 2 yds to the Iowa 43 ,2,0,0,0,0,1, LeShun Daniels Jr. ,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
23,2nd and 8 at IOWA 43,2nd , 8 , IOWA 43,IOWA, 1st,7:32 ,7,0,7, (7:32 - 1st) C.J. Beathard pass complete to George Kittle for 6 yds to the Iowa 49 ,6,1, C.J. Beathard,1, George Kittle ,0,0,0,0,0,0,11/6/2016,2016," University Park, PA 16802 ",home,PSU-6.0,52," 106,194",400869688
