,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Tristan Vizcaino kickoff for 63 yds , Miles Sanders return for 15 yds to the PnSt 17 ",63,,,,,,,,,,,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
1,1st and 10 at PSU 17,1st , 10 , PSU 17,PSU, 1st,14:45 ,7,0,7, (14:45 - 1st) Trace McSorley pass complete to Saquon Barkley for no gain to the PnSt 17 ,0,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
2,2nd and 10 at PSU 17,2nd , 10 , PSU 17,PSU, 1st,14:17 ,7,0,7, (14:17 - 1st) Trace McSorley pass incomplete to Juwan Johnson ,0,1, Trace McSorley,0, Juwan Johnson ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
3,3rd and 10 at PSU 17,3rd , 10 , PSU 17,PSU, 1st,14:10 ,7,0,7, (14:10 - 1st) Trace McSorley pass complete to Saquon Barkley for 12 yds to the PnSt 29 for a 1ST down ,12,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
4,1st and 10 at PSU 29,1st , 10 , PSU 29,PSU, 1st,13:40 ,7,0,7, (13:40 - 1st) Trace McSorley run for 9 yds to the PnSt 38 ,9,0,0,0,0,1, Trace McSorley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
5,2nd and 1 at PSU 38,2nd , 1 , PSU 38,PSU, 1st,13:06 ,7,0,7, (13:06 - 1st) Saquon Barkley run for 12 yds to the 50 yard line for a 1ST down ,12,0,0,0,0,1, Saquon Barkley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
6,1st and 10 at 50,1st , 10 , 50,PSU, 1st,12:35 ,7,0,7, (12:35 - 1st) Trace McSorley pass complete to Juwan Johnson for 5 yds to the Wash 45 ,5,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
7,2nd and 5 at WASH 45,2nd , 5 , WASH 45,PSU, 1st,12:00 ,7,0,7, (12:00 - 1st) Trace McSorley pass complete to Tommy Stevens for a loss of 3 yards to the Wash 48 ,-3,1, Trace McSorley,1, Tommy Stevens ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
8,3rd and 8 at WASH 48,3rd , 8 , WASH 48,PSU, 1st,11:10 ,7,0,7," (11:10 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 48 yds for a TD, (Tyler Davis KICK) ",48,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
9,,,,,WASH, 1st,11:10 ,7,0,7," (11:10 - 1st) Tyler Davis kickoff for 65 yds , Salvon Ahmed return for 14 yds to the Wash 49 WASHINGTON Penalty, Illegal Block (7 Yards) to the Wash 7 ",65,0,0,0,0,0,0,0,0,0,1,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
10,1st and 10 at WASH 7,1st , 10 , WASH 7,WASH, 1st,10:50 ,7,0,7, (10:50 - 1st) Jake Browning pass complete to Aaron Fuller for 8 yds to the Wash 15 ,8,1, Jake Browning,1, Aaron Fuller ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
11,2nd and 2 at WASH 15,2nd , 2 , WASH 15,WASH, 1st,10:25 ,7,0,7, (10:25 - 1st) Myles Gaskin run for no gain to the Wash 15 ,0,0,0,0,0,1, Myles Gaskin ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
12,3rd and 2 at WASH 15,3rd , 2 , WASH 15,WASH, 1st,9:55 ,7,0,7, (9:55 - 1st) Jake Browning pass incomplete to Aaron Fuller ,0,1, Jake Browning,0, Aaron Fuller ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
13,4th and 2 at WASH 15,4th , 2 , WASH 15,WASH, 1st,9:46 ,7,0,7," (9:46 - 1st) Joel Whitford punt for 45 yds , DeAndre Thompkins returns for a loss of 6 yards to the PnSt 34 DeAndre Thompkins fumbled, recovered by PnSt DeAndre Thompkins ",-6,0,0,0,0,0,0,1,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
14,1st and 10 at PSU 34,1st , 10 , PSU 34,PSU, 1st,9:40 ,7,0,7, (9:40 - 1st) Trace McSorley pass complete to Miles Sanders for 4 yds to the PnSt 38 ,4,1, Trace McSorley,1, Miles Sanders ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
15,2nd and 6 at PSU 38,2nd , 6 , PSU 38,PSU, 1st,9:13 ,7,0,7, (9:13 - 1st) Trace McSorley pass incomplete to Miles Sanders ,0,1, Trace McSorley,0, Miles Sanders ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
16,3rd and 6 at PSU 38,3rd , 6 , PSU 38,PSU, 1st,9:05 ,7,0,7, (9:05 - 1st) Trace McSorley pass complete to Mike Gesicki for 17 yds to the Wash 45 for a 1ST down ,17,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
17,1st and 10 at WASH 43,1st , 10 , WASH 43,PSU, 1st,8:45 ,7,0,7," (8:45 - 1st) Trace McSorley run for 2 yds to the Wash 43 for a 1ST down WASHINGTON Penalty, Defensive Holding (10 Yards) to the Wash 33 for a 1ST down ",2,0,0,0,0,0,0,0,0,0,1,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
18,1st and 10 at WASH 33,1st , 10 , WASH 33,PSU, 1st,8:23 ,7,0,7," (8:23 - 1st) Trace McSorley pass intercepted, touchback. Byron Murphy return for no gain ",0,1, Trace McSorley,interception,0,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
19,1st and 10 at WASH 20,1st , 10 , WASH 20,WASH, 1st,8:17 ,7,0,7, (8:17 - 1st) Jake Browning pass incomplete to Drew Sample ,0,1, Jake Browning,0, Drew Sample ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
20,2nd and 10 at WASH 20,2nd , 10 , WASH 20,WASH, 1st,8:10 ,7,0,7, (8:10 - 1st) Lavon Coleman run for a loss of 1 yard to the Wash 19 ,-1,0,0,0,0,1, Lavon Coleman ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
21,3rd and 11 at WASH 19,3rd , 11 , WASH 19,WASH, 1st,7:25 ,7,0,7, (7:25 - 1st) Jake Browning sacked by Tyrell Chavis for a loss of 6 yards to the Wash 13 ,-6,,,,,,,,,,,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
22,4th and 17 at WASH 13,4th , 17 , WASH 13,WASH, 1st,6:46 ,7,0,7," (6:46 - 1st) Joel Whitford punt for 52 yds , DeAndre Thompkins returns for 1 yd to the PnSt 36 ", punt for 52,0,0,0,0,0,0,1,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
23,1st and 10 at PSU 36,1st , 10 , PSU 36,PSU, 1st,6:40 ,14,0,14, (6:40 - 1st) Saquon Barkley run for no gain to the PnSt 36 ,0,0,0,0,0,1, Saquon Barkley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
24,2nd and 10 at PSU 36,2nd , 10 , PSU 36,PSU, 1st,6:00 ,14,0,14, (6:00 - 1st) Trace McSorley run for 12 yds to the PnSt 48 for a 1ST down ,12,0,0,0,0,1, Trace McSorley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
25,1st and 10 at PSU 48,1st , 10 , PSU 48,PSU, 1st,5:39 ,14,0,14, (5:39 - 1st) Trace McSorley pass incomplete to DeAndre Thompkins ,0,1, Trace McSorley,0, DeAndre Thompkins ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
26,2nd and 10 at PSU 48,2nd , 10 , PSU 48,PSU, 1st,5:31 ,14,0,14, (5:31 - 1st) Trace McSorley run for 3 yds to the Wash 49 ,3,0,0,0,0,1, Trace McSorley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
27,3rd and 7 at WASH 49,3rd , 7 , WASH 49,PSU, 1st,4:55 ,14,0,14, (4:55 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 9 yds to the Wash 40 for a 1ST down ,9,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
28,1st and 10 at WASH 40,1st , 10 , WASH 40,PSU, 1st,4:30 ,14,0,14, (4:30 - 1st) Trace McSorley pass complete to Saeed Blacknall for 20 yds to the Wash 20 for a 1ST down ,20,1, Trace McSorley,1, Saeed Blacknall ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
29,1st and 10 at WASH 20,1st , 10 , WASH 20,PSU, 1st,3:55 ,14,0,14, (3:55 - 1st) Saquon Barkley run for 8 yds to the Wash 12 ,8,0,0,0,0,1, Saquon Barkley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
30,2nd and 2 at WASH 12,2nd , 2 , WASH 12,PSU, 1st,3:15 ,14,0,14, (3:15 - 1st) Trace McSorley pass complete to Mike Gesicki for 7 yds to the Wash 5 for a 1ST down ,7,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
31,1st and Goal at WASH 5,1st , Goal , WASH 5,PSU, 1st,2:35 ,14,0,14, (2:35 - 1st) Saquon Barkley run for 1 yd to the Wash 4 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
32,2nd and Goal at WASH 4,2nd , Goal , WASH 4,PSU, 1st,2:05 ,14,0,14, (2:05 - 1st) Trace McSorley pass complete to Mike Gesicki for 2 yds to the Wash 2 ,2,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
33,3rd and Goal at WASH 2,3rd , Goal , WASH 2,PSU, 1st,1:34 ,14,0,14," (1:34 - 1st) Saquon Barkley run for 2 yds for a TD, (Tyler Davis KICK) ",2,0,0,0,0,1, Saquon Barkley ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
34,,,,,WASH, 1st,1:34 ,14,7,7, (1:34 - 1st) Tyler Davis kickoff for 65 yds for a touchback ,65,,,,,,,,,,,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
35,1st and 10 at WASH 25,1st , 10 , WASH 25,WASH, 1st,1:25 ,14,7,7, (1:25 - 1st) Myles Gaskin run for a loss of 4 yards to the Wash 21 ,-4,0,0,0,0,1, Myles Gaskin ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
36,2nd and 14 at WASH 21,2nd , 14 , WASH 21,WASH, 1st,0:51 ,14,7,7," (0:51 - 1st) PENN ST Penalty, Roughing Passer (Shane Simmons) to the Wash 36 for a 1ST down ",,0,0,0,0,0,0,0,0,0,1,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
37,1st and 10 at WASH 36,1st , 10 , WASH 36,WASH, 1st,0:40 ,14,7,7, (0:40 - 1st) Andre Baccellia pass complete to Will Dissly for 52 yds to the PnSt 12 for a 1ST down ,52,1, Andre Baccellia,1, Will Dissly ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
38,1st and 10 at PSU 12,1st , 10 , PSU 12,WASH, 1st,0:20 ,14,7,7, (0:20 - 1st) Jake Browning pass complete to Salvon Ahmed for 11 yds to the PnSt 1 for a 1ST down ,11,1, Jake Browning,1, Salvon Ahmed ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
39,,,,,WASH,,,14,7,7, End of 1st Quarter ,,,,,,,,,,,,,,,,,,,
40,1st and Goal at PSU 1,1st , Goal , PSU 1,WASH, 2nd,14:57 ,14,7,7," (14:57 - 2nd) Jake Browning run for 1 yd for a TD, (Tristan Vizcaino KICK) ",1,0,0,0,0,1, Jake Browning ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
41,,,,,PSU, 2nd,14:57 ,21,7,14," (14:57 - 2nd) Tristan Vizcaino kickoff for 64 yds , Miles Sanders return for 23 yds to the PnSt 24 ",64,,,,,,,,,,,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
42,1st and 10 at PSU 24,1st , 10 , PSU 24,PSU, 2nd,14:45 ,21,7,14, (14:45 - 2nd) Trace McSorley pass complete to Tommy Stevens for no gain to the PnSt 24 ,0,1, Trace McSorley,1, Tommy Stevens ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
43,2nd and 10 at PSU 24,2nd , 10 , PSU 24,PSU, 2nd,14:15 ,21,7,14, (14:15 - 2nd) Trace McSorley pass complete to Brandon Polk for 4 yds to the PnSt 28 ,4,1, Trace McSorley,1, Brandon Polk ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
44,3rd and 6 at PSU 28,3rd , 6 , PSU 28,PSU, 2nd,13:35 ,21,7,14, (13:35 - 2nd) Trace McSorley pass complete to Mike Gesicki for 26 yds to the Wash 46 for a 1ST down ,26,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
45,1st and 10 at WASH 46,1st , 10 , WASH 46,PSU, 2nd,13:03 ,21,7,14, (13:03 - 2nd) Trace McSorley pass complete to Juwan Johnson for 11 yds to the Wash 35 for a 1ST down ,11,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
46,1st and 10 at WASH 35,1st , 10 , WASH 35,PSU, 2nd,12:32 ,21,7,14, (12:32 - 2nd) Trace McSorley pass incomplete to Tommy Stevens ,0,1, Trace McSorley,0, Tommy Stevens ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
47,2nd and 10 at WASH 35,2nd , 10 , WASH 35,PSU, 2nd,12:23 ,21,7,14, (12:23 - 2nd) Trace McSorley pass complete to DeAndre Thompkins for 34 yds to the Wash 1 for a 1ST down ,34,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
48,1st and Goal at WASH 1,1st , Goal , WASH 1,PSU, 2nd,12:10 ,21,7,14," (12:10 - 2nd) WASHINGTON Penalty, Substitution Infraction ( Yards) to the Wash 1 ",,0,0,0,0,0,0,0,0,0,1,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
49,1st and Goal at WASH 1,1st , Goal , WASH 1,PSU, 2nd,11:59 ,21,7,14," (11:59 - 2nd) Miles Sanders run for 1 yd for a TD, (Tyler Davis KICK) ",1,0,0,0,0,1, Miles Sanders ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
50,,,,,WASH, 2nd,11:59 ,21,7,14," (11:59 - 2nd) Tyler Davis kickoff for 65 yds , Salvon Ahmed return for 20 yds to the Wash 20 ",65,,,,,,,,,,,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
51,1st and 10 at WASH 20,1st , 10 , WASH 20,WASH, 2nd,11:40 ,21,7,14, (11:40 - 2nd) Jake Browning pass complete to Dante Pettis for 26 yds to the Wash 46 for a 1ST down ,26,1, Jake Browning,1, Dante Pettis ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
52,1st and 10 at WASH 46,1st , 10 , WASH 46,WASH, 2nd,11:14 ,21,7,14, (11:14 - 2nd) Jake Browning pass incomplete to Aaron Fuller ,0,1, Jake Browning,0, Aaron Fuller ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
53,2nd and 10 at WASH 46,2nd , 10 , WASH 46,WASH, 2nd,11:07 ,21,7,14, (11:07 - 2nd) Myles Gaskin run for 2 yds to the Wash 48 ,2,0,0,0,0,1, Myles Gaskin ,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
54,3rd and 8 at WASH 48,3rd , 8 , WASH 48,WASH, 2nd,10:30 ,21,7,14, (10:30 - 2nd) Jake Browning pass complete to Myles Gaskin for 4 yds to the PnSt 48 ,4,1, Jake Browning,1, Myles Gaskin ,0,0,0,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
55,4th and 4 at PSU 48,4th , 4 , PSU 48,WASH, 2nd,9:45 ,21,7,14," (9:45 - 2nd) Jake Browning punt for 41 yds, downed at the PnSt 7 ",41,0,0,0,0,0,0,1,0,0,0,12/30/2017,2017," Glendale, AZ ",road,PSU-3.0,54," 61,842",400953407
