,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) David Bonagura kickoff for 58 yds , Miles Sanders return for no gain to the PnSt 19 Miles Sanders fumbled, recovered by Rutgr K.J. Gray ",58,,,,,,,,,,,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
1,1st and 10 at PSU 19,1st , 10 , PSU 19,RUTG, 1st,14:54 ,0,0,0, (14:54 - 1st) Josh Hicks run for a loss of 7 yards to the PnSt 26 ,-7,0,0,0,0,1, Josh Hicks ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
2,2nd and 17 at PSU 26,2nd , 17 , PSU 26,RUTG, 1st,14:54 ,0,0,0, (14:54 - 1st) Giovanni Rescigno pass incomplete ,0,1, Giovanni Rescigno,0,0,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
3,3rd and 17 at PSU 26,3rd , 17 , PSU 26,RUTG, 1st,14:54 ,0,0,0, (14:54 - 1st) Giovanni Rescigno run for no gain to the PnSt 26 ,0,0,0,0,0,1, Giovanni Rescigno ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
4,4th and 17 at PSU 26,4th , 17 , PSU 26,RUTG, 1st,13:35 ,0,0,0, (13:35 - 1st) David Bonagura 45 yd FG MISSED ,,0,0,0,0,0,0,0,1,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
5,1st and 10 at PSU 27,1st , 10 , PSU 27,PSU, 1st,13:35 ,0,0,0, (13:35 - 1st) Trace McSorley run for 4 yds to the PnSt 31 ,4,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
6,2nd and 6 at PSU 31,2nd , 6 , PSU 31,PSU, 1st,13:35 ,0,0,0, (13:35 - 1st) Saquon Barkley run for 4 yds to the PnSt 35 ,4,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
7,3rd and 2 at PSU 35,3rd , 2 , PSU 35,PSU, 1st,13:35 ,0,0,0, (13:35 - 1st) Saquon Barkley run for 1 yd to the PnSt 36 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
8,4th and 1 at PSU 36,4th , 1 , PSU 36,PSU, 1st,13:35 ,0,0,0, (13:35 - 1st) Blake Gillikin punt for 47 yds ,47,0,0,0,0,0,0,1,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
9,1st and 10 at RUTG 17,1st , 10 , RUTG 17,RUTG, 1st,12:01 ,0,0,0, (12:01 - 1st) Justin Goodwin run for a loss of 2 yards to the Rutgr 15 ,-2,0,0,0,0,1, Justin Goodwin ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
10,2nd and 12 at RUTG 15,2nd , 12 , RUTG 15,RUTG, 1st,12:01 ,0,0,0, (12:01 - 1st) Giovanni Rescigno pass complete to Andre Patton for 8 yds to the Rutgr 23 ,8,1, Giovanni Rescigno,1, Andre Patton ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
11,3rd and 4 at RUTG 23,3rd , 4 , RUTG 23,RUTG, 1st,12:01 ,0,0,0, (12:01 - 1st) Giovanni Rescigno pass incomplete ,0,1, Giovanni Rescigno,0,0,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
12,4th and 4 at RUTG 23,4th , 4 , RUTG 23,RUTG, 1st,12:01 ,0,0,0," (12:01 - 1st) Michael Cintron punt for 37 yds, punt out-of-bounds at the PnSt 40 ",37,0,0,0,0,0,0,1,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
13,1st and 10 at PSU 40,1st , 10 , PSU 40,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 7 yds to the PnSt 47 ,7,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
14,2nd and 3 at PSU 47,2nd , 3 , PSU 47,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Saquon Barkley run for 2 yds to the PnSt 49 ,2,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
15,3rd and 1 at PSU 49,3rd , 1 , PSU 49,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Saquon Barkley run for 4 yds to the Rutgr 47 for a 1ST down ,4,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
16,1st and 10 at RUTG 47,1st , 10 , RUTG 47,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
17,2nd and 10 at RUTG 47,2nd , 10 , RUTG 47,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Trace McSorley pass complete to Chris Godwin for 7 yds to the Rutgr 40 ,7,1, Trace McSorley,1, Chris Godwin ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
18,3rd and 3 at RUTG 40,3rd , 3 , RUTG 40,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Trace McSorley run for 4 yds to the Rutgr 36 for a 1ST down ,4,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
19,1st and 10 at RUTG 36,1st , 10 , RUTG 36,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Saquon Barkley run for 18 yds to the Rutgr 18 for a 1ST down ,18,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
20,1st and 10 at RUTG 18,1st , 10 , RUTG 18,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Saquon Barkley run for 3 yds to the Rutgr 15 ,3,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
21,2nd and 7 at RUTG 15,2nd , 7 , RUTG 15,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
22,3rd and 7 at RUTG 15,3rd , 7 , RUTG 15,PSU, 1st,10:48 ,3,0,3, (10:48 - 1st) Trace McSorley run for 1 yd to the Rutgr 14 ,1,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
23,4th and 6 at RUTG 14,4th , 6 , RUTG 14,PSU, 1st,6:34 ,3,0,3, (6:34 - 1st) Tyler Davis 32 yd FG GOOD ,,0,0,0,0,0,0,0,1,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
24,,,,,RUTG, 1st,6:34 ,3,0,3," (6:34 - 1st) Joey Julius kickoff for 45 yds , Justin Goodwin return for 10 yds to the Rutgr 30 ",45,,,,,,,,,,,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
25,1st and 10 at RUTG 30,1st , 10 , RUTG 30,RUTG, 1st,6:28 ,3,0,3, (6:28 - 1st) Giovanni Rescigno pass complete to Jawuan Harris for 19 yds to the Rutgr 49 for a 1ST down ,19,1, Giovanni Rescigno,1, Jawuan Harris ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
26,1st and 10 at RUTG 49,1st , 10 , RUTG 49,RUTG, 1st,6:28 ,3,0,3, (6:28 - 1st) Giovanni Rescigno pass complete to Andre Patton for 5 yds to the PnSt 46 ,5,1, Giovanni Rescigno,1, Andre Patton ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
27,2nd and 5 at PSU 46,2nd , 5 , PSU 46,RUTG, 1st,6:28 ,3,0,3, (6:28 - 1st) Dacoven Bailey run for 2 yds to the PnSt 44 ,2,0,0,0,0,1, Dacoven Bailey ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
28,3rd and 3 at PSU 44,3rd , 3 , PSU 44,RUTG, 1st,6:28 ,3,0,3," (6:28 - 1st) Giovanni Rescigno sacked by Brandon Bell for a loss of 5 yards to the PnSt 49 Giovanni Rescigno fumbled, , return for 0 yards ",-5,,,,,,,,,,,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
29,4th and 8 at PSU 49,4th , 8 , PSU 49,RUTG, 1st,6:28 ,3,0,3," (6:28 - 1st) Cintron, M. punt 34 yards to the PSU15, fair catch by Reid, John, PENALTY PSU offside defense (Miller, Jarvis) 5 yards to the PSU44, NO PLAY. ",,0,0,0,0,0,0,0,0,0,1,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
30,4th and 3 at PSU 44,4th , 3 , PSU 44,RUTG, 1st,6:28 ,3,0,3, (6:28 - 1st) Michael Cintron punt for 44 yds for a touchback ,44,0,0,0,0,0,0,1,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
31,1st and 10 at PSU 20,1st , 10 , PSU 20,PSU, 1st,4:09 ,6,0,6, (4:09 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 5 yds to the PnSt 25 ,5,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
32,2nd and 5 at PSU 25,2nd , 5 , PSU 25,PSU, 1st,4:09 ,6,0,6, (4:09 - 1st) Andre Robinson run for 5 yds to the PnSt 30 for a 1ST down ,5,0,0,0,0,1, Andre Robinson ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
33,1st and 10 at PSU 30,1st , 10 , PSU 30,PSU, 1st,4:09 ,6,0,6, (4:09 - 1st) Trace McSorley pass complete to Mike Gesicki for 11 yds to the PnSt 41 for a 1ST down ,11,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
34,1st and 10 at PSU 41,1st , 10 , PSU 41,PSU, 1st,4:09 ,6,0,6, (4:09 - 1st) Trace McSorley run for 4 yds to the PnSt 45 ,4,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
35,2nd and 6 at PSU 45,2nd , 6 , PSU 45,PSU, 1st,4:09 ,6,0,6, (4:09 - 1st) Trace McSorley pass incomplete to Chris Godwin ,0,1, Trace McSorley,0, Chris Godwin ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
36,3rd and 6 at PSU 45,3rd , 6 , PSU 45,PSU, 1st,4:09 ,6,0,6, (4:09 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 5 yds to the 50 yard line ,5,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
37,,,,,PSU, 1st,1:42 ,6,0,6," (1:42 - 1st) Timeout RUTGERS, clock 01:42 ",,,,,,,,,,,,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
38,4th and 1 at 50,4th , 1 , 50,PSU, 1st,1:42 ,6,0,6, (1:42 - 1st) Trace McSorley pass complete to Mike Gesicki for 26 yds to the Rutgr 24 for a 1ST down ,26,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
39,1st and 10 at RUTG 24,1st , 10 , RUTG 24,PSU, 1st,1:42 ,6,0,6, (1:42 - 1st) Trace McSorley pass incomplete to Saquon Barkley ,0,1, Trace McSorley,0, Saquon Barkley ,0,0,0,0,0,0,11/20/2016,2016," Piscataway, NJ 08854 ",road,PSU-26.0,56," 51,366",400869641
