,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Barry Brown kickoff for 65 yds , Saquon Barkley return for 37 yds to the PnSt 37 ",65,,,,,,,,,,,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
1,1st and 10 at PSU 37,1st , 10 , PSU 37,PSU, 1st,14:31 ,7,0,7, (14:31 - 1st) Saquon Barkley run for 1 yd to the PnSt 38 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
2,2nd and 9 at PSU 38,2nd , 9 , PSU 38,PSU, 1st,14:01 ,7,0,7, (14:01 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 14 yds to the GeoSt 48 for a 1ST down ,14,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
3,1st and 10 at GAST 48,1st , 10 , GAST 48,PSU, 1st,13:51 ,7,0,7, (13:51 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 12 yds to the GeoSt 36 for a 1ST down ,12,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
4,1st and 10 at GAST 36,1st , 10 , GAST 36,PSU, 1st,13:33 ,7,0,7, (13:33 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 7 yds to the GeoSt 29 ,7,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
5,2nd and 3 at GAST 29,2nd , 3 , GAST 29,PSU, 1st,13:11 ,7,0,7, (13:11 - 1st) Trace McSorley pass complete to Saquon Barkley for 9 yds to the GeoSt 20 for a 1ST down ,9,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
6,1st and 10 at GAST 20,1st , 10 , GAST 20,PSU, 1st,12:31 ,7,0,7, (12:31 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 4 yds to the GeoSt 16 ,4,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
7,2nd and 6 at GAST 16,2nd , 6 , GAST 16,PSU, 1st,12:15 ,7,0,7, (12:15 - 1st) Saquon Barkley run for 6 yds to the GeoSt 10 for a 1ST down ,6,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
8,1st and Goal at GAST 10,1st , Goal , GAST 10,PSU, 1st,11:48 ,7,0,7, (11:48 - 1st) Tommy Stevens 10 Yd pass from Trace McSorley (Tyler Davis Kick) ,,1,Trace McSorley,1, Tommy Stevens ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
9,,,,,PSU, 1st,11:48 ,7,0,7, (11:48 - 1st) Tyler Davis kickoff for 65 yds for a touchback ,65,,,,,,,,,,,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
10,1st and 10 at GAST 25,1st , 10 , GAST 25,PSU, 1st,11:36 ,7,0,7, (11:36 - 1st) Conner Manning pass complete to Penny Hart for 10 yds to the GeoSt 35 for a 1ST down ,10,1, Conner Manning,1, Penny Hart ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
11,1st and 10 at GAST 35,1st , 10 , GAST 35,PSU, 1st,11:13 ,7,0,7, (11:13 - 1st) Kyler Neal run for 4 yds to the GeoSt 39 ,4,0,0,0,0,1, Kyler Neal ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
12,2nd and 6 at GAST 39,2nd , 6 , GAST 39,PSU, 1st,10:34 ,7,0,7, (10:34 - 1st) Taz Bateman run for 2 yds to the GeoSt 41 ,2,0,0,0,0,1, Taz Bateman ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
13,3rd and 4 at GAST 41,3rd , 4 , GAST 41,PSU, 1st,9:56 ,7,0,7, (9:56 - 1st) Taz Bateman run for 15 yds to the PnSt 44 for a 1ST down ,15,0,0,0,0,1, Taz Bateman ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
14,1st and 10 at PSU 44,1st , 10 , PSU 44,PSU, 1st,9:24 ,7,0,7, (9:24 - 1st) Conner Manning pass complete to Taz Bateman for 5 yds to the PnSt 39 ,5,1, Conner Manning,1, Taz Bateman ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
15,2nd and 5 at PSU 39,2nd , 5 , PSU 39,PSU, 1st,9:02 ,7,0,7," (9:02 - 1st) GEORGIA ST Penalty, False Start (-5 Yards) to the PnSt 44 ",,0,0,0,0,0,0,0,0,0,1,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
16,2nd and 10 at PSU 44,2nd , 10 , PSU 44,PSU, 1st,8:26 ,7,0,7, (8:26 - 1st) Conner Manning pass complete to Glenn Smith for 4 yds to the PnSt 40 ,4,1, Conner Manning,1, Glenn Smith ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
17,3rd and 6 at PSU 40,3rd , 6 , PSU 40,PSU, 1st,7:54 ,7,0,7, (7:54 - 1st) Conner Manning pass incomplete to Tamir Jones ,0,1, Conner Manning,0, Tamir Jones ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
18,,,,,PSU, 1st,7:52 ,7,0,7," (7:52 - 1st) Timeout GEORGIA ST, clock 07:52 ",,,,,,,,,,,,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
19,4th and 6 at PSU 40,4th , 6 , PSU 40,PSU, 1st,7:44 ,7,0,7," (7:44 - 1st) Oliver Holdenson punt for 39 yds, downed at the PnSt 1 ",39,0,0,0,0,0,0,1,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
20,1st and 10 at PSU 1,1st , 10 , PSU 1,GAST, 1st,7:37 ,7,0,7, (7:37 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
21,2nd and 10 at PSU 1,2nd , 10 , PSU 1,GAST, 1st,7:16 ,7,0,7, (7:16 - 1st) Saquon Barkley run for 1 yd to the PnSt 2 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
22,3rd and 9 at PSU 2,3rd , 9 , PSU 2,GAST, 1st,6:49 ,7,0,7, (6:49 - 1st) Trace McSorley pass complete to Mike Gesicki for 20 yds to the PnSt 22 for a 1ST down ,20,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
23,1st and 10 at PSU 22,1st , 10 , PSU 22,GAST, 1st,6:25 ,7,0,7, (6:25 - 1st) Saquon Barkley run for 2 yds to the PnSt 24 ,2,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
24,2nd and 8 at PSU 24,2nd , 8 , PSU 24,GAST, 1st,6:01 ,7,0,7," (6:01 - 1st) Andre Robinson run for a loss of 2 yards to the PnSt 22 Andre Robinson fumbled, recovered by PnSt Trace McSorley ",-2,0,0,0,0,1, Andre Robinson ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
25,3rd and 10 at PSU 22,3rd , 10 , PSU 22,GAST, 1st,5:12 ,7,0,7, (5:12 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
26,4th and 10 at PSU 22,4th , 10 , PSU 22,GAST, 1st,5:05 ,7,0,7," (5:05 - 1st) Blake Gillikin punt for 52 yds, fair catch by Taz Bateman at the GeoSt 26 ",52,0,0,0,0,0,0,1,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
27,1st and 10 at GAST 26,1st , 10 , GAST 26,GAST, 1st,4:53 ,7,0,7, (4:53 - 1st) Taz Bateman run for 4 yds to the GeoSt 30 ,4,0,0,0,0,1, Taz Bateman ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
28,2nd and 6 at GAST 30,2nd , 6 , GAST 30,GAST, 1st,4:16 ,7,0,7, (4:16 - 1st) Taz Bateman run for 10 yds to the GeoSt 40 for a 1ST down ,10,0,0,0,0,1, Taz Bateman ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
29,1st and 10 at GAST 40,1st , 10 , GAST 40,GAST, 1st,3:36 ,7,0,7, (3:36 - 1st) Penny Hart run for 5 yds to the GeoSt 45 ,5,0,0,0,0,1, Penny Hart ,0,0,0,0,9/17/2017,2017," University Park, PA 16802 ",home,PSU-37.0,55," 102,746",400935356
