,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Matt Boermeester kickoff for 62 yds ,62,,,,,,,,,,,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
1,1st and 10 at PSU 3,1st , 10 , PSU 3,PSU, 1st,14:47 ,0,0,0, (14:47 - 1st) Trace McSorley pass intercepted Iman Marshall return for no gain to the PnSt 35 ,0,1, Trace McSorley,interception,0,0,0,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
2,1st and 10 at PSU 35,1st , 10 , PSU 35,USC, 1st,14:42 ,0,0,0, (14:42 - 1st) Sam Darnold pass incomplete to Deontay Burnett ,0,1, Sam Darnold,0, Deontay Burnett ,0,0,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
3,2nd and 10 at PSU 35,2nd , 10 , PSU 35,USC, 1st,14:35 ,0,0,0, (14:35 - 1st) Justin Davis run for 2 yds to the PnSt 33 ,2,0,0,0,0,1, Justin Davis ,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
4,3rd and 8 at PSU 33,3rd , 8 , PSU 33,USC, 1st,13:53 ,0,0,0, (13:53 - 1st) Sam Darnold pass incomplete to JuJu Smith-Schuster ,0,1, Sam Darnold,0, JuJu Smith-Schuster ,0,0,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
5,4th and 8 at PSU 33,4th , 8 , PSU 33,USC, 1st,13:49 ,0,0,0, (13:49 - 1st) Matt Boermeester 51 yd FG MISSED ,,0,0,0,0,0,0,0,1,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
6,1st and 10 at PSU 33,1st , 10 , PSU 33,PSU, 1st,13:43 ,0,0,0, (13:43 - 1st) Saquon Barkley run for 12 yds to the PnSt 45 for a 1ST down ,12,0,0,0,0,1, Saquon Barkley ,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
7,1st and 10 at PSU 45,1st , 10 , PSU 45,PSU, 1st,13:21 ,0,0,0, (13:21 - 1st) Saquon Barkley run for 12 yds to the USC 43 for a 1ST down ,12,0,0,0,0,1, Saquon Barkley ,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
8,1st and 10 at USC 43,1st , 10 , USC 43,PSU, 1st,12:55 ,0,0,0, (12:55 - 1st) Saquon Barkley run for 3 yds to the USC 40 ,3,0,0,0,0,1, Saquon Barkley ,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
9,2nd and 7 at USC 40,2nd , 7 , USC 40,PSU, 1st,12:15 ,0,0,0, (12:15 - 1st) Trace McSorley pass intercepted Adoree' Jackson return for 21 yds to the USC 49 ,21,1, Trace McSorley,interception,0,0,0,0,0,0,0,1/3/2017,2016," Pasadena, CA 90095 ",road,USC-7.0,60," 95,128",400876111
