,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) Kevin Cronin kickoff for 59 yds , Miles Sanders return for 24 yds to the PnSt 30 ",59,,,,,,,,,,,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
1,1st and 10 at PSU 30,1st , 10 , PSU 30,PSU, 1st,14:50 ,0,0,0, (14:50 - 1st) Trace McSorley run for 2 yds to the PnSt 32 ,2,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
2,2nd and 8 at PSU 32,2nd , 8 , PSU 32,PSU, 1st,14:20 ,0,0,0, (14:20 - 1st) Saquon Barkley run for 1 yd to the PnSt 33 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
3,3rd and 7 at PSU 33,3rd , 7 , PSU 33,PSU, 1st,13:58 ,0,0,0," (13:58 - 1st) MICHIGAN ST Penalty, Defensive Offside (Demetrius Cooper) to the PnSt 38 ",,0,0,0,0,0,0,0,0,0,1,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
4,,,,,PSU, 1st,13:33 ,0,0,0," (13:33 - 1st) Timeout PENN ST, clock 13:33 ",,,,,,,,,,,,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
5,3rd and 2 at PSU 38,3rd , 2 , PSU 38,PSU, 1st,13:25 ,0,0,0, (13:25 - 1st) Trace McSorley run for no gain to the PnSt 38 ,0,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
6,4th and 2 at PSU 38,4th , 2 , PSU 38,PSU, 1st,12:46 ,0,0,0," (12:46 - 1st) Blake Gillikin punt for 49 yds, downed at the MchSt 13 ",49,0,0,0,0,0,0,1,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
7,1st and 10 at MSU 13,1st , 10 , MSU 13,MSU, 1st,12:40 ,0,3,-3, (12:40 - 1st) R.J. Shelton run for 9 yds to the MchSt 22 ,9,0,0,0,0,1, R.J. Shelton ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
8,2nd and 1 at MSU 22,2nd , 1 , MSU 22,MSU, 1st,12:10 ,0,3,-3, (12:10 - 1st) LJ Scott run for 5 yds to the MchSt 27 for a 1ST down ,5,0,0,0,0,1, LJ Scott ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
9,1st and 10 at MSU 27,1st , 10 , MSU 27,MSU, 1st,11:41 ,0,3,-3, (11:41 - 1st) Damion Terry pass complete to R.J. Shelton for 39 yds to the PnSt 34 for a 1ST down ,39,1, Damion Terry,1, R.J. Shelton ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
10,1st and 10 at PSU 34,1st , 10 , PSU 34,MSU, 1st,11:15 ,0,3,-3, (11:15 - 1st) LJ Scott run for 6 yds to the PnSt 28 ,6,0,0,0,0,1, LJ Scott ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
11,2nd and 4 at PSU 28,2nd , 4 , PSU 28,MSU, 1st,10:45 ,0,3,-3, (10:45 - 1st) LJ Scott run for 6 yds to the PnSt 22 for a 1ST down ,6,0,0,0,0,1, LJ Scott ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
12,1st and 10 at PSU 22,1st , 10 , PSU 22,MSU, 1st,10:10 ,0,3,-3, (10:10 - 1st) Damion Terry pass complete to Monty Madaris for 3 yds to the PnSt 19 ,3,1, Damion Terry,1, Monty Madaris ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
13,2nd and 7 at PSU 19,2nd , 7 , PSU 19,MSU, 1st,9:35 ,0,3,-3, (9:35 - 1st) Damion Terry pass incomplete to R.J. Shelton ,0,1, Damion Terry,0, R.J. Shelton ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
14,3rd and 7 at PSU 19,3rd , 7 , PSU 19,MSU, 1st,9:28 ,0,3,-3, (9:28 - 1st) Damion Terry pass complete to Monty Madaris for 10 yds to the PnSt 9 for a 1ST down ,10,1, Damion Terry,1, Monty Madaris ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
15,1st and Goal at PSU 9,1st , Goal , PSU 9,MSU, 1st,9:00 ,0,3,-3, (9:00 - 1st) Damion Terry pass incomplete to R.J. Shelton ,0,1, Damion Terry,0, R.J. Shelton ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
16,2nd and Goal at PSU 9,2nd , Goal , PSU 9,MSU, 1st,8:50 ,0,3,-3, (8:50 - 1st) Damion Terry run for a loss of 2 yards to the PnSt 11 ,-2,0,0,0,0,1, Damion Terry ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
17,3rd and Goal at PSU 11,3rd , Goal , PSU 11,MSU, 1st,8:17 ,0,3,-3, (8:17 - 1st) Damion Terry pass incomplete to Donnie Corley ,0,1, Damion Terry,0, Donnie Corley ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
18,4th and 0 at PSU 11,4th , 0 , PSU 11,MSU, 1st,8:13 ,0,3,-3, (8:13 - 1st) Michael Geiger 28 yd FG GOOD ,,0,0,0,0,0,0,0,1,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
19,,,,,PSU, 1st,8:13 ,0,3,-3, (8:13 - 1st) Kevin Cronin kickoff for 65 yds for a touchback ,65,,,,,,,,,,,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
20,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,8:07 ,0,3,-3, (8:07 - 1st) Trace McSorley pass incomplete to Saeed Blacknall ,0,1, Trace McSorley,0, Saeed Blacknall ,0,0,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
21,2nd and 10 at PSU 25,2nd , 10 , PSU 25,PSU, 1st,8:00 ,0,3,-3, (8:00 - 1st) Saquon Barkley run for a loss of 3 yards to the PnSt 22 ,-3,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
22,3rd and 13 at PSU 22,3rd , 13 , PSU 22,PSU, 1st,7:20 ,0,3,-3, (7:20 - 1st) Trace McSorley sacked by Demetrius Cooper for a loss of 8 yards to the PnSt 14 ,-8,,,,,,,,,,,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
23,4th and 21 at PSU 14,4th , 21 , PSU 14,PSU, 1st,7:03 ,0,3,-3," (7:03 - 1st) Blake Gillikin punt for 54 yds, downed at the MchSt 32 ",54,0,0,0,0,0,0,1,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
24,1st and 10 at MSU 32,1st , 10 , MSU 32,MSU, 1st,6:55 ,0,6,-6, (6:55 - 1st) LJ Scott run for no gain to the MchSt 32 ,0,0,0,0,0,1, LJ Scott ,0,0,0,0,11/26/2016,2016," University Park, PA 16802 ",home,PSU-11.0,54," 97,418",400869702
