,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Danny Sutton kickoff for 59 yds , Saquon Barkley return for 3 yds to the PnSt 9 ",59,,,,,,,,,,,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
1,1st and 10 at PSU 9,1st , 10 , PSU 9,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 5 yds to the PnSt 14 ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
2,2nd and 5 at PSU 14,2nd , 5 , PSU 14,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 10 yds to the PnSt 24 for a 1ST down ,10,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
3,1st and 10 at PSU 24,1st , 10 , PSU 24,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 5 yds to the PnSt 29 ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
4,2nd and 5 at PSU 29,2nd , 5 , PSU 29,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass complete to Juwan Johnson for 14 yds to the PnSt 43 for a 1ST down ,14,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
5,1st and 10 at PSU 43,1st , 10 , PSU 43,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass complete to Mike Gesicki for 2 yds to the PnSt 45 ,2,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
6,2nd and 8 at PSU 45,2nd , 8 , PSU 45,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass incomplete to Juwan Johnson ,0,1, Trace McSorley,0, Juwan Johnson ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
7,3rd and 8 at PSU 45,3rd , 8 , PSU 45,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley run for 22 yds to the Mary 33 for a 1ST down ,22,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
8,1st and 10 at MD 33,1st , 10 , MD 33,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
9,2nd and 10 at MD 33,2nd , 10 , MD 33,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 5 yds to the Mary 28 ,5,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
10,3rd and 5 at MD 28,3rd , 5 , MD 28,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass complete to Juwan Johnson for 7 yds to the Mary 21 for a 1ST down ,7,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
11,1st and 10 at MD 21,1st , 10 , MD 21,PSU, 1st,10:17 ,7,0,7," (10:17 - 1st) Tommy Stevens run for 21 yds for a TD, (Tyler Davis KICK) ",21,0,0,0,0,1, Tommy Stevens ,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
12,,,,,MD, 1st,10:17 ,7,0,7," (10:17 - 1st) Tyler Davis kickoff for 44 yds , Noah Barnes return for 5 yds to the Mary 26 ",44,,,,,,,,,,,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
13,1st and 10 at MD 26,1st , 10 , MD 26,MD, 1st,10:14 ,7,0,7, (10:14 - 1st) Max Bortenschlager pass complete to D.J. Moore for 3 yds to the Mary 29 ,3,1, Max Bortenschlager,1, D.J. Moore ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
14,2nd and 7 at MD 29,2nd , 7 , MD 29,MD, 1st,10:14 ,7,0,7, (10:14 - 1st) Ty Johnson run for 5 yds to the Mary 34 ,5,0,0,0,0,1, Ty Johnson ,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
15,3rd and 2 at MD 34,3rd , 2 , MD 34,MD, 1st,10:14 ,7,0,7," (10:14 - 1st) Bortenschlager pass incomplete to Davenport, J., PENALTY PSU offside (Miller, Shareef) 5 yards to the UMD39, 1ST DOWN UMD, NO PLAY. ",0,0,0,0,0,0,0,0,0,0,1,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
16,1st and 10 at MD 39,1st , 10 , MD 39,MD, 1st,10:14 ,7,0,7, (10:14 - 1st) D.J. Moore pass complete to Jahrvis Davenport for a loss of 6 yards to the Mary 33 ,-6,1, D.J. Moore,1, Jahrvis Davenport ,0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
17,2nd and 16 at MD 33,2nd , 16 , MD 33,MD, 1st,10:14 ,7,0,7," (10:14 - 1st) Max Bortenschlager pass incomplete to Taivon Jacobs, broken up by Parker Cothren ",0,1, Max Bortenschlager,0," Taivon Jacobs, broken up by Parker Cothren ",0,0,0,0,0,0,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
18,3rd and 16 at MD 33,3rd , 16 , MD 33,MD, 1st,10:14 ,7,0,7," (10:14 - 1st) Max Bortenschlager sacked by Kevin Givens for a loss of 1 yard to the Mary 36 Max Bortenschlager fumbled, recovered by Mary Max Bortenschlager , return for 0 yards ",-1,,,,,,,,,,,11/25/2017,2017," College Park, MD 20742 ",road,PSU-23.5,59," 49,680",400935419
