,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Drew Brown kickoff for 49 yds , Koa Farmer return for 10 yds to the PnSt 26 ",49,,,,,,,,,,,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
1,1st and 10 at PSU 26,1st , 10 , PSU 26,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
2,2nd and 10 at PSU 26,2nd , 10 , PSU 26,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley run for 9 yds to the PnSt 35 ,9,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
3,3rd and 1 at PSU 35,3rd , 1 , PSU 35,PSU, 1st,14:03 ,7,0,7," (14:03 - 1st) Saquon Barkley run for 65 yds for a TD, (Tyler Davis KICK) ",65,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
4,,,,,NEB, 1st,14:03 ,7,0,7," (14:03 - 1st) Tyler Davis kickoff for 56 yds , JD Spielman return for 23 yds to the Neb 32 ",56,,,,,,,,,,,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
5,1st and 10 at NEB 32,1st , 10 , NEB 32,NEB, 1st,13:57 ,7,0,7, (13:57 - 1st) Mikale Wilbon run for 1 yd to the Neb 33 ,1,0,0,0,0,1, Mikale Wilbon ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
6,2nd and 9 at NEB 33,2nd , 9 , NEB 33,NEB, 1st,13:57 ,7,0,7, (13:57 - 1st) Tanner Lee pass incomplete ,0,1, Tanner Lee,0,0,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
7,3rd and 9 at NEB 33,3rd , 9 , NEB 33,NEB, 1st,13:57 ,7,0,7," (13:57 - 1st) Tanner Lee pass incomplete, broken up by Jason Cabinda ",0,1, Tanner Lee,0,0,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
8,4th and 9 at NEB 33,4th , 9 , NEB 33,NEB, 1st,13:57 ,7,0,7," (13:57 - 1st) Caleb Lightbourn punt for 30 yds , Zech McPhearson returns for a loss of 3 yards to the PnSt 34 Zech McPhearson fumbled, recovered by Neb Collin Miller ",-3,0,0,0,0,0,0,1,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
9,1st and 10 at PSU 34,1st , 10 , PSU 34,NEB, 1st,12:47 ,7,3,4," (12:47 - 1st) NEBRASKA Penalty, false start (-5 Yards) to the PnSt 39 ",,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
10,1st and 15 at PSU 39,1st , 15 , PSU 39,NEB, 1st,12:47 ,7,3,4, (12:47 - 1st) Tanner Lee pass complete to Tyler Hoppes for 6 yds to the PnSt 33 ,6,1, Tanner Lee,1, Tyler Hoppes ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
11,2nd and 9 at PSU 33,2nd , 9 , PSU 33,NEB, 1st,12:47 ,7,3,4, (12:47 - 1st) Mikale Wilbon run for 2 yds to the PnSt 31 ,2,0,0,0,0,1, Mikale Wilbon ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
12,3rd and 7 at PSU 31,3rd , 7 , PSU 31,NEB, 1st,12:47 ,7,3,4, (12:47 - 1st) Tanner Lee pass complete to De'Mornay Pierson-El for 8 yds to the PnSt 23 for a 1ST down ,8,1, Tanner Lee,1, De'Mornay Pierson-El ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
13,1st and 10 at PSU 23,1st , 10 , PSU 23,NEB, 1st,12:47 ,7,3,4, (12:47 - 1st) Tanner Lee pass complete to Stanley Morgan Jr. for 12 yds to the PnSt 11 for a 1ST down ,12,1, Tanner Lee,1, Stanley Morgan Jr. ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
14,1st and 10 at PSU 11,1st , 10 , PSU 11,NEB, 1st,12:47 ,7,3,4, (12:47 - 1st) Tanner Lee pass incomplete to JD Spielman ,0,1, Tanner Lee,0, JD Spielman ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
15,2nd and 10 at PSU 11,2nd , 10 , PSU 11,NEB, 1st,12:47 ,7,3,4, (12:47 - 1st) Mikale Wilbon run for no gain to the PnSt 11 ,0,0,0,0,0,1, Mikale Wilbon ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
16,3rd and 10 at PSU 11,3rd , 10 , PSU 11,NEB, 1st,12:47 ,7,3,4," (12:47 - 1st) Tanner Lee pass incomplete to Tyler Hoppes, broken up by Troy Apke NEBRASKA Penalty, Offensive holding ( Yards) declined ",0,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
17,4th and 10 at PSU 11,4th , 10 , PSU 11,NEB, 1st,9:18 ,7,3,4, (9:18 - 1st) Drew Brown 27 yd FG GOOD ,,0,0,0,0,0,0,0,1,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
18,,,,,PSU, 1st,9:18 ,7,3,4, (9:18 - 1st) Drew Brown kickoff for 47 yds ,47,,,,,,,,,,,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
19,1st and 10 at PSU 18,1st , 10 , PSU 18,PSU, 1st,9:18 ,7,3,4, (9:18 - 1st) Saquon Barkley run for 4 yds to the PnSt 22 ,4,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
20,2nd and 6 at PSU 22,2nd , 6 , PSU 22,PSU, 1st,9:18 ,7,3,4," (9:18 - 1st) PENN ST Penalty, false start (-5 Yards) to the PnSt 17 ",,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
21,2nd and 11 at PSU 17,2nd , 11 , PSU 17,PSU, 1st,9:18 ,7,3,4, (9:18 - 1st) Saquon Barkley run for 1 yd to the PnSt 18 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
22,3rd and 10 at PSU 18,3rd , 10 , PSU 18,PSU, 1st,9:18 ,7,3,4," (9:18 - 1st) Trace McSorley pass incomplete PENN ST Penalty, Offensive holding ( Yards) declined ",0,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
23,4th and 10 at PSU 18,4th , 10 , PSU 18,PSU, 1st,9:18 ,7,3,4," (9:18 - 1st) Blake Gillikin punt for 18 yds, punt out-of-bounds at the PnSt 36 ",18,0,0,0,0,0,0,1,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
24,1st and 10 at PSU 36,1st , 10 , PSU 36,NEB, 1st,7:26 ,7,10,-3, (7:26 - 1st) Tanner Lee pass complete to JD Spielman for 17 yds to the PnSt 19 for a 1ST down ,17,1, Tanner Lee,1, JD Spielman ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
25,1st and 10 at PSU 19,1st , 10 , PSU 19,NEB, 1st,7:26 ,7,10,-3, (7:26 - 1st) Tanner Lee pass complete to Stanley Morgan Jr. for 18 yds to the PnSt 1 for a 1ST down ,18,1, Tanner Lee,1, Stanley Morgan Jr. ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
26,1st and Goal at PSU 1,1st , Goal , PSU 1,NEB, 1st,6:17 ,7,10,-3," (6:17 - 1st) Devine Ozigbo run for 1 yd for a TD, (Drew Brown KICK) PENN ST Penalty, roughing the kicker ( Yards) declined ",1,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
27,,,,,PSU, 1st,6:17 ,14,10,4," (6:17 - 1st) Drew Brown kickoff for 43 yds , Koa Farmer return for 12 yds to the PnSt 34 ",43,,,,,,,,,,,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
28,1st and 10 at PSU 34,1st , 10 , PSU 34,PSU, 1st,6:10 ,14,10,4, (6:10 - 1st) Trace McSorley pass complete to Saquon Barkley for 5 yds to the PnSt 39 ,5,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
29,2nd and 5 at PSU 39,2nd , 5 , PSU 39,PSU, 1st,6:10 ,14,10,4, (6:10 - 1st) Saquon Barkley run for no gain to the PnSt 39 ,0,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
30,3rd and 5 at PSU 39,3rd , 5 , PSU 39,PSU, 1st,6:10 ,14,10,4, (6:10 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 7 yds to the PnSt 46 for a 1ST down ,7,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
31,1st and 10 at PSU 46,1st , 10 , PSU 46,PSU, 1st,6:10 ,14,10,4, (6:10 - 1st) Trace McSorley pass complete to Juwan Johnson for 43 yds to the Neb 11 for a 1ST down ,43,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
32,1st and 10 at NEB 11,1st , 10 , NEB 11,PSU, 1st,6:10 ,14,10,4, (6:10 - 1st) Saquon Barkley run for 10 yds to the Neb 1 for a 1ST down ,10,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
33,1st and Goal at NEB 1,1st , Goal , NEB 1,PSU, 1st,6:10 ,14,10,4, (6:10 - 1st) Trace McSorley run for no gain to the Neb 1 ,0,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
34,2nd and Goal at NEB 1,2nd , Goal , NEB 1,PSU, 1st,2:40 ,14,10,4," (2:40 - 1st) Saquon Barkley run for 1 yd for a TD, (Tyler Davis KICK) ",1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
35,,,,,NEB, 1st,2:40 ,14,10,4," (2:40 - 1st) Tyler Davis kickoff for 63 yds , Jaylin Bradley return for 31 yds to the Neb 33 ",63,,,,,,,,,,,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
36,1st and 10 at NEB 33,1st , 10 , NEB 33,NEB, 1st,2:31 ,14,10,4, (2:31 - 1st) Devine Ozigbo run for a loss of 2 yards to the Neb 31 ,-2,0,0,0,0,1, Devine Ozigbo ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
37,2nd and 12 at NEB 31,2nd , 12 , NEB 31,NEB, 1st,2:31 ,14,10,4, (2:31 - 1st) Tanner Lee pass complete to Tyler Hoppes for 4 yds to the Neb 35 ,4,1, Tanner Lee,1, Tyler Hoppes ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
38,3rd and 8 at NEB 35,3rd , 8 , NEB 35,NEB, 1st,2:31 ,14,10,4, (2:31 - 1st) Tanner Lee pass complete to JD Spielman for 7 yds to the Neb 42 ,7,1, Tanner Lee,1, JD Spielman ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
39,4th and 1 at NEB 42,4th , 1 , NEB 42,NEB, 1st,2:31 ,14,10,4," (2:31 - 1st) NEBRASKA Penalty, delay of game (-5 Yards) to the Neb 37 ",,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
40,4th and 6 at NEB 37,4th , 6 , NEB 37,NEB, 1st,2:31 ,14,10,4, (2:31 - 1st) Caleb Lightbourn punt for 48 yds ,48,0,0,0,0,0,0,1,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
41,1st and 10 at PSU 15,1st , 10 , PSU 15,PSU, 1st,0:15 ,21,10,11, (0:15 - 1st) Saquon Barkley run for 30 yds to the PnSt 45 for a 1ST down ,30,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
42,,,,,PSU,,,21,10,11, End of 1st Quarter ,,,,,,,,,,,,,,,,,,,
43,1st and 10 at PSU 45,1st , 10 , PSU 45,PSU, 2nd,15:00 ,21,10,11, (15:00 - 2nd) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
44,2nd and 10 at PSU 45,2nd , 10 , PSU 45,PSU, 2nd,15:00 ,21,10,11, (15:00 - 2nd) Trace McSorley run for 9 yds to the Neb 46 ,9,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
45,3rd and 1 at NEB 46,3rd , 1 , NEB 46,PSU, 2nd,15:00 ,21,10,11," (15:00 - 2nd) Barkley, Saquon rush for 2 yards to the NEB44 (Dedrick Young;M. Stoltenberg), PENALTY PSU holding (McGovern, C.) 9 yards to the PSU45, NO PLAY. ",,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
46,3rd and 10 at PSU 45,3rd , 10 , PSU 45,PSU, 2nd,15:00 ,21,10,11, (15:00 - 2nd) Trace McSorley pass complete to Saeed Blacknall for 22 yds to the Neb 33 for a 1ST down ,22,1, Trace McSorley,1, Saeed Blacknall ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
47,1st and 10 at NEB 33,1st , 10 , NEB 33,PSU, 2nd,15:00 ,21,10,11, (15:00 - 2nd) Saquon Barkley run for 5 yds to the Neb 28 ,5,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
48,2nd and 5 at NEB 28,2nd , 5 , NEB 28,PSU, 2nd,15:00 ,21,10,11," (15:00 - 2nd) Saquon Barkley run for 1 yd to the Neb 27 for a 1ST down NEBRASKA Penalty, Defensive holding (10 Yards) to the Neb 17 for a 1ST down ",1,0,0,0,0,0,0,0,0,0,1,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
49,1st and 10 at NEB 17,1st , 10 , NEB 17,PSU, 2nd,15:00 ,21,10,11, (15:00 - 2nd) Trace McSorley run for 8 yds to the Neb 9 ,8,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
50,2nd and 2 at NEB 9,2nd , 2 , NEB 9,PSU, 2nd,11:53 ,21,10,11," (11:53 - 2nd) Trace McSorley run for 9 yds for a TD, (Tyler Davis KICK) ",9,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
51,,,,,NEB, 2nd,11:53 ,21,10,11," (11:53 - 2nd) Tyler Davis kickoff for 65 yds , Jaylin Bradley return for 26 yds to the Neb 26 ",65,,,,,,,,,,,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
52,1st and 10 at NEB 26,1st , 10 , NEB 26,NEB, 2nd,11:45 ,21,10,11, (11:45 - 2nd) Tanner Lee pass incomplete to JD Spielman ,0,1, Tanner Lee,0, JD Spielman ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
53,2nd and 10 at NEB 26,2nd , 10 , NEB 26,NEB, 2nd,11:45 ,21,10,11, (11:45 - 2nd) Mikale Wilbon run for 4 yds to the Neb 30 ,4,0,0,0,0,1, Mikale Wilbon ,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
54,3rd and 6 at NEB 30,3rd , 6 , NEB 30,NEB, 2nd,11:45 ,21,10,11, (11:45 - 2nd) Tanner Lee pass incomplete to JD Spielman ,0,1, Tanner Lee,0, JD Spielman ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
55,4th and 6 at NEB 30,4th , 6 , NEB 30,NEB, 2nd,11:45 ,21,10,11," (11:45 - 2nd) Caleb Lightbourn punt for 37 yds, punt out-of-bounds at the PnSt 33 ",37,0,0,0,0,0,0,1,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
56,1st and 10 at PSU 33,1st , 10 , PSU 33,PSU, 2nd,10:50 ,28,10,18, (10:50 - 2nd) Trace McSorley pass complete to Saquon Barkley for 24 yds to the Neb 43 for a 1ST down ,24,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
57,1st and 10 at NEB 43,1st , 10 , NEB 43,PSU, 2nd,10:50 ,28,10,18," (10:50 - 2nd) Trace McSorley pass incomplete to DaeSean Hamilton, broken up by Mohamed Barry ",0,1, Trace McSorley,0," DaeSean Hamilton, broken up by Mohamed Barry ",0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
58,2nd and 10 at NEB 43,2nd , 10 , NEB 43,PSU, 2nd,10:50 ,28,10,18, (10:50 - 2nd) Trace McSorley pass complete to DaeSean Hamilton for 12 yds to the Neb 31 for a 1ST down ,12,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/19/2017,2017," University Park, PA 16802 ",home,PSU-27.5,59," 106,722",400935415
