,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Brett Scanlon kickoff for 65 yds for a touchback ,65,,,,,,,,,,,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,14:56 ,0,0,0, (14:56 - 1st) Trace McSorley pass incomplete to Juwan Johnson ,0,1, Trace McSorley,0, Juwan Johnson ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
2,2nd and 10 at PSU 25,2nd , 10 , PSU 25,PSU, 1st,14:51 ,0,0,0, (14:51 - 1st) Trace McSorley pass complete to Mike Gesicki for 16 yds to the PnSt 41 for a 1ST down ,16,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
3,1st and 10 at PSU 41,1st , 10 , PSU 41,PSU, 1st,14:27 ,0,0,0, (14:27 - 1st) Trace McSorley pass complete to Saquon Barkley for 4 yds to the PnSt 45 ,4,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
4,2nd and 6 at PSU 45,2nd , 6 , PSU 45,PSU, 1st,14:07 ,0,0,0," (14:07 - 1st) Trace McSorley pass incomplete to Mike Gesicki, broken up by Demetrius Cooper ",0,1, Trace McSorley,0," Mike Gesicki, broken up by Demetrius Cooper ",0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
5,3rd and 6 at PSU 45,3rd , 6 , PSU 45,PSU, 1st,13:59 ,0,0,0, (13:59 - 1st) Trace McSorley pass complete to Saquon Barkley for 9 yds to the MchSt 46 for a 1ST down ,9,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
6,1st and 10 at MSU 46,1st , 10 , MSU 46,PSU, 1st,13:38 ,0,0,0, (13:38 - 1st) Saquon Barkley run for a loss of 1 yard to the MchSt 47 ,-1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
7,2nd and 11 at MSU 47,2nd , 11 , MSU 47,PSU, 1st,13:11 ,0,0,0, (13:11 - 1st) Trace McSorley pass incomplete to DeAndre Thompkins ,0,1, Trace McSorley,0, DeAndre Thompkins ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
8,3rd and 11 at MSU 47,3rd , 11 , MSU 47,PSU, 1st,13:05 ,0,0,0, (13:05 - 1st) Trace McSorley pass intercepted Joe Bachie return for no gain to the MchSt 27 ,0,1, Trace McSorley,interception,0,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
9,1st and 10 at MSU 27,1st , 10 , MSU 27,MSU, 1st,12:59 ,0,0,0, (12:59 - 1st) Brian Lewerke pass complete to Felton Davis III for 4 yds to the MchSt 31 ,4,1, Brian Lewerke,1, Felton Davis III ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
10,2nd and 6 at MSU 31,2nd , 6 , MSU 31,MSU, 1st,12:37 ,0,0,0," (12:37 - 1st) MICHIGAN ST Penalty, False Start (Cole Chewins) to the MchSt 26 ",,0,0,0,0,0,0,0,0,0,1,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
11,2nd and 11 at MSU 26,2nd , 11 , MSU 26,MSU, 1st,12:23 ,0,0,0, (12:23 - 1st) Brian Lewerke pass incomplete to Darrell Stewart Jr. ,0,1, Brian Lewerke,0, Darrell Stewart Jr. ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
12,3rd and 11 at MSU 26,3rd , 11 , MSU 26,MSU, 1st,12:18 ,0,0,0, (12:18 - 1st) Brian Lewerke pass complete to LJ Scott for 12 yds to the MchSt 38 for a 1ST down ,12,1, Brian Lewerke,1, LJ Scott ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
13,1st and 10 at MSU 38,1st , 10 , MSU 38,MSU, 1st,11:46 ,0,0,0, (11:46 - 1st) LJ Scott run for 4 yds to the MchSt 42 ,4,0,0,0,0,1, LJ Scott ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
14,2nd and 6 at MSU 42,2nd , 6 , MSU 42,MSU, 1st,11:46 ,0,0,0," (11:46 - 1st) MICHIGAN ST Penalty, Unsportsmanlike Conduct (Chase Gianacakos) to the MchSt 27 ",,0,0,0,0,0,0,0,0,0,1,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
15,2nd and 21 at MSU 27,2nd , 21 , MSU 27,MSU, 1st,11:22 ,0,0,0, (11:22 - 1st) Brian Lewerke pass complete to LJ Scott for 2 yds to the MchSt 29 ,2,1, Brian Lewerke,1, LJ Scott ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
16,3rd and 19 at MSU 29,3rd , 19 , MSU 29,MSU, 1st,10:40 ,0,0,0, (10:40 - 1st) Brian Lewerke pass complete to Cody White for 20 yds to the MchSt 49 for a 1ST down ,20,1, Brian Lewerke,1, Cody White ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
17,1st and 10 at MSU 49,1st , 10 , MSU 49,MSU, 1st,10:01 ,0,0,0, (10:01 - 1st) LJ Scott run for 6 yds to the PnSt 45 ,6,0,0,0,0,1, LJ Scott ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
18,2nd and 4 at PSU 45,2nd , 4 , PSU 45,MSU, 1st,9:26 ,0,0,0, (9:26 - 1st) LJ Scott run for 2 yds to the PnSt 43 ,2,0,0,0,0,1, LJ Scott ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
19,3rd and 2 at PSU 43,3rd , 2 , PSU 43,MSU, 1st,8:45 ,0,0,0," (8:45 - 1st) Brian Lewerke pass incomplete to Cody White, broken up by Troy Apke ",0,1, Brian Lewerke,0," Cody White, broken up by Troy Apke ",0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
20,4th and 2 at PSU 43,4th , 2 , PSU 43,MSU, 1st,8:40 ,0,0,0," (8:40 - 1st) Jake Hartbarger punt for 35 yds, fair catch by DeAndre Thompkins at the PnSt 8 ",35,0,0,0,0,0,0,1,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
21,1st and 10 at PSU 8,1st , 10 , PSU 8,PSU, 1st,8:34 ,7,0,7, (8:34 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 15 yds to the PnSt 23 for a 1ST down ,15,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
22,1st and 10 at PSU 23,1st , 10 , PSU 23,PSU, 1st,8:02 ,7,0,7, (8:02 - 1st) Saquon Barkley run for 1 yd to the PnSt 24 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
23,2nd and 9 at PSU 24,2nd , 9 , PSU 24,PSU, 1st,7:35 ,7,0,7, (7:35 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 13 yds to the PnSt 37 for a 1ST down ,13,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
24,1st and 10 at PSU 37,1st , 10 , PSU 37,PSU, 1st,7:06 ,7,0,7, (7:06 - 1st) Trace McSorley run for 1 yd to the PnSt 38 ,1,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
25,2nd and 9 at PSU 38,2nd , 9 , PSU 38,PSU, 1st,6:37 ,7,0,7, (6:37 - 1st) Saquon Barkley pass complete to Mike Gesicki for 20 yds to the MchSt 42 for a 1ST down ,20,1, Saquon Barkley,1, Mike Gesicki ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
26,1st and 10 at MSU 42,1st , 10 , MSU 42,PSU, 1st,6:04 ,7,0,7, (6:04 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 11 yds to the MchSt 31 for a 1ST down ,11,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
27,1st and 10 at MSU 31,1st , 10 , MSU 31,PSU, 1st,5:40 ,7,0,7," (5:40 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 31 yds for a TD, (Tyler Davis KICK) ",31,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
28,,,,,MSU, 1st,5:40 ,7,7,0," (5:40 - 1st) Tyler Davis kickoff for 60 yds to the MSU5 , Connor Heyward return for 28 yds to the MICHIGANST 37 for a 1ST down PENN ST Penalty, Personal Foul (-15 Yards) to the MchSt 48 for a 1ST down ",60,0,0,0,0,0,0,0,0,0,1,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
29,1st and 10 at MSU 48,1st , 10 , MSU 48,MSU, 1st,5:28 ,7,7,0, (5:28 - 1st) Brian Lewerke pass complete to Darrell Stewart Jr. for 18 yds to the PnSt 34 for a 1ST down ,18,1, Brian Lewerke,1, Darrell Stewart Jr. ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
30,1st and 10 at PSU 34,1st , 10 , PSU 34,MSU, 1st,5:14 ,7,7,0, (5:14 - 1st) Brian Lewerke pass complete to Felton Davis III for 17 yds to the PnSt 17 for a 1ST down ,17,1, Brian Lewerke,1, Felton Davis III ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
31,1st and 10 at PSU 17,1st , 10 , PSU 17,MSU, 1st,4:48 ,7,7,0," (4:48 - 1st) Lewerke, Brian pass incomplete to White, Cody, PENALTY PENNST pass interference (Haley, Grant) 15 yards to the PENNST2, NO PLAY, 1ST DOWN MICHIGANST. ",0,0,0,0,0,0,0,0,0,0,1,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
32,1st and Goal at PSU 2,1st , Goal , PSU 2,MSU, 1st,4:41 ,7,7,0," (4:41 - 1st) Scott, LJ rush for loss of 1 yard to the PENNST3, PENALTY MICHIGANST holding (Higby, Tyler) 10 yards to the PENNST12, NO PLAY. ",-1,0,0,0,0,0,0,0,0,0,1,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
33,1st and Goal at PSU 12,1st , Goal , PSU 12,MSU, 1st,4:14 ,7,7,0," (4:14 - 1st) Lewerke, Brian pass complete to Scott, LJ for 12 yards to the PENNST0, PENALTY MICHIGANST ineligible downfield on pass (Jarvis, Kevin) 5 yards to the PENNST17, NO PLAY. ",,0,0,0,0,0,0,0,0,0,1,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
34,1st and Goal at PSU 17,1st , Goal , PSU 17,MSU, 1st,4:01 ,7,7,0, (4:01 - 1st) Brian Lewerke pass complete to Felton Davis III for 10 yds to the PnSt 7 ,10,1, Brian Lewerke,1, Felton Davis III ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
35,2nd and Goal at PSU 7,2nd , Goal , PSU 7,MSU, 1st,3:28 ,7,7,0," (3:28 - 1st) Brian Lewerke pass complete to Darrell Stewart Jr. for 7 yds for a TD, (Matt Coghlin KICK) ",7,1, Brian Lewerke,1, Darrell Stewart Jr. ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
36,,,,,PSU, 1st,3:28 ,14,7,7, (3:28 - 1st) Brett Scanlon kickoff for 65 yds for a touchback ,65,,,,,,,,,,,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
37,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,3:18 ,14,7,7, (3:18 - 1st) Trace McSorley pass complete to Mike Gesicki for 9 yds to the PnSt 34 ,9,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
38,2nd and 1 at PSU 34,2nd , 1 , PSU 34,PSU, 1st,3:04 ,14,7,7, (3:04 - 1st) Saquon Barkley run for 1 yd to the PnSt 35 for a 1ST down ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
39,1st and 10 at PSU 35,1st , 10 , PSU 35,PSU, 1st,2:38 ,14,7,7, (2:38 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 17 yds to the MchSt 48 for a 1ST down ,17,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
40,1st and 10 at MSU 48,1st , 10 , MSU 48,PSU, 1st,2:19 ,14,7,7, (2:19 - 1st) Trace McSorley pass incomplete to Saeed Blacknall ,0,1, Trace McSorley,0, Saeed Blacknall ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
41,2nd and 10 at MSU 48,2nd , 10 , MSU 48,PSU, 1st,2:14 ,14,7,7, (2:14 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 19 yds to the MchSt 29 for a 1ST down ,19,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
42,1st and 10 at MSU 29,1st , 10 , MSU 29,PSU, 1st,1:39 ,14,7,7, (1:39 - 1st) Trace McSorley pass incomplete to DaeSean Hamilton ,0,1, Trace McSorley,0, DaeSean Hamilton ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
43,2nd and 10 at MSU 29,2nd , 10 , MSU 29,PSU, 1st,1:36 ,14,7,7, (1:36 - 1st) Trace McSorley pass incomplete to Juwan Johnson ,0,1, Trace McSorley,0, Juwan Johnson ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
44,3rd and 10 at MSU 29,3rd , 10 , MSU 29,PSU, 1st,1:25 ,14,7,7, (1:25 - 1st) Trace McSorley run for 2 yds to the MchSt 27 ,2,0,0,0,0,1, Trace McSorley ,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
45,4th and 8 at MSU 27,4th , 8 , MSU 27,PSU, 1st,0:42 ,14,7,7," (0:42 - 1st) Trace McSorley pass complete to Saeed Blacknall for 27 yds for a TD, (Tyler Davis KICK) ",27,1, Trace McSorley,1, Saeed Blacknall ,0,0,0,0,0,0,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
46,,,,,MSU, 1st,0:42 ,14,7,7," (0:42 - 1st) Tyler Davis kickoff for 65 yds , Connor Heyward return for 25 yds to the MchSt 25 ",65,,,,,,,,,,,11/4/2017,2017," East Lansing, MI 48824 ",road,PSU-10.0,46," 71,605",400935399
