,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) Shane Hynes kickoff for 62 yds , Nick Scott return for 22 yds to the PnSt 25 ",62,,,,,,,,,,,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Saquon Barkley run for 1 yd to the PnSt 26 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
2,2nd and 9 at PSU 26,2nd , 9 , PSU 26,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley run for 2 yds to the PnSt 28 ,2,0,0,0,0,1, Trace McSorley ,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
3,3rd and 7 at PSU 28,3rd , 7 , PSU 28,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to Mike Gesicki for 5 yds to the PnSt 33 ,5,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
4,4th and 2 at PSU 33,4th , 2 , PSU 33,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Blake Gillikin punt for 49 yds ,49,0,0,0,0,0,0,1,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
5,1st and 10 at KENT 18,1st , 10 , KENT 18,KENT, 1st,12:54 ,0,0,0, (12:54 - 1st) Kavious Price run for 3 yds to the KntSt 21 ,3,0,0,0,0,1, Kavious Price ,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
6,2nd and 7 at KENT 21,2nd , 7 , KENT 21,KENT, 1st,12:54 ,0,0,0, (12:54 - 1st) Justin Agner pass complete to Justin Rankin for 6 yds to the KntSt 27 ,6,1, Justin Agner,1, Justin Rankin ,0,0,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
7,3rd and 1 at KENT 27,3rd , 1 , KENT 27,KENT, 1st,12:54 ,0,0,0, (12:54 - 1st) Justin Rankin run for no gain to the KntSt 27 ,0,0,0,0,0,1, Justin Rankin ,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
8,4th and 1 at KENT 27,4th , 1 , KENT 27,KENT, 1st,12:54 ,0,0,0," (12:54 - 1st) Derek Adams punt for 41 yds , John Reid returns for a loss of 2 yards to the PnSt 30 ",-2,0,0,0,0,0,0,1,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
9,1st and 10 at PSU 30,1st , 10 , PSU 30,PSU, 1st,10:55 ,0,0,0, (10:55 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
10,2nd and 10 at PSU 30,2nd , 10 , PSU 30,PSU, 1st,10:55 ,0,0,0, (10:55 - 1st) Saquon Barkley run for 3 yds to the PnSt 33 ,3,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
11,3rd and 7 at PSU 33,3rd , 7 , PSU 33,PSU, 1st,10:55 ,0,0,0, (10:55 - 1st) Trace McSorley pass incomplete to Mike Gesicki ,0,1, Trace McSorley,0, Mike Gesicki ,0,0,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
12,4th and 7 at PSU 33,4th , 7 , PSU 33,PSU, 1st,10:55 ,0,0,0," (10:55 - 1st) Blake Gillikin punt for 44 yds , Nick Holley returns for 3 yds to the KntSt 26 ",44,0,0,0,0,0,0,1,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
13,1st and 10 at KENT 26,1st , 10 , KENT 26,KENT, 1st,9:56 ,0,3,-3," (9:56 - 1st) Justin Rankin run for 5 yds to the KntSt 31 for a 1ST down PENN ST Penalty, personal foul (Marcus Allen) to the KntSt 46 for a 1ST down ",5,0,0,0,0,0,0,0,0,0,1,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
14,1st and 10 at KENT 46,1st , 10 , KENT 46,KENT, 1st,9:56 ,0,3,-3, (9:56 - 1st) Justin Agner run for no gain to the KntSt 46 ,0,0,0,0,0,1, Justin Agner ,0,0,0,0,9/3/2016,2016," University Park, PA 16802 ",home,PSU-23.5,44," 94,378",400869261
