,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) Austin Jones kickoff for 58 yds , Brandon Polk return for 35 yds to the PENNST 30 TEMPLE Penalty, personal foul (-15 Yards) to the Temp 43 ",58,0,0,0,0,0,0,0,0,0,1,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
1,1st and 10 at TEM 43,1st , 10 , TEM 43,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Saquon Barkley run for 8 yds to the Temp 35 ,8,0,0,0,0,1, Saquon Barkley ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
2,4th and 10 at TEM 32,4th , 10 , TEM 32,PSU, 1st,15:00 ,0,0,0," (15:00 - 1st) Blake Gillikin punt for 31 yds, downed at the Temp 1 ",31,0,0,0,0,0,0,1,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
3,2nd and 2 at TEM 35,2nd , 2 , TEM 35,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Mark Allen run for 3 yds to the Temp 32 for a 1ST down ,3,0,0,0,0,1, Mark Allen ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
4,1st and 10 at TEM 32,1st , 10 , TEM 32,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
5,2nd and 10 at TEM 32,2nd , 10 , TEM 32,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Mark Allen run for a loss of 1 yard to the Temp 33 ,-1,0,0,0,0,1, Mark Allen ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
6,3rd and 11 at TEM 33,3rd , 11 , TEM 33,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to Mark Allen for 1 yd to the Temp 32 ,1,1, Trace McSorley,1, Mark Allen ,0,0,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
7,1st and 10 at TEM 1,1st , 10 , TEM 1,TEM, 1st,12:17 ,0,0,0, (12:17 - 1st) Phillip Walker run for 1 yd to the Temp 2 ,1,0,0,0,0,1, Phillip Walker ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
8,2nd and 9 at TEM 2,2nd , 9 , TEM 2,TEM, 1st,12:17 ,0,0,0, (12:17 - 1st) Nick Sharga run for 1 yd to the Temp 3 ,1,0,0,0,0,1, Nick Sharga ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
9,3rd and 8 at TEM 3,3rd , 8 , TEM 3,TEM, 1st,12:17 ,0,0,0, (12:17 - 1st) Nick Sharga run for 5 yds to the Temp 8 ,5,0,0,0,0,1, Nick Sharga ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
10,4th and 3 at TEM 8,4th , 3 , TEM 8,TEM, 1st,12:17 ,0,0,0," (12:17 - 1st) Alex Starzyk punt for 37 yds , John Reid returns for no gain to the PnSt 8 PENN ST Penalty, Offensive holding (10 Yards) to the PnSt 45 ",37,0,0,0,0,0,0,0,0,0,1,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
11,1st and 10 at PSU 45,1st , 10 , PSU 45,PSU, 1st,10:17 ,7,0,7, (10:17 - 1st) Andre Robinson run for 3 yds to the PnSt 48 ,3,0,0,0,0,1, Andre Robinson ,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
12,2nd and 7 at PSU 48,2nd , 7 , PSU 48,PSU, 1st,9:35 ,7,0,7, (9:35 - 1st) Chris Godwin 52 Yd pass from Trace McSorley (Tyler Davis Kick) ,,1,Trace McSorley,1, Chris Godwin ,0,0,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
13,,,,,TEM, 1st,9:35 ,7,7,0, (9:35 - 1st) Joey Julius kickoff for 65 yds for a touchback ,65,,,,,,,,,,,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
14,1st and 10 at TEM 25,1st , 10 , TEM 25,TEM, 1st,9:35 ,7,7,0, (9:35 - 1st) Phillip Walker pass complete to Romond Deloatch for 67 yds to the PnSt 8 for a 1ST down ,67,1, Phillip Walker,1, Romond Deloatch ,0,0,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
15,1st and Goal at PSU 8,1st , Goal , PSU 8,TEM, 1st,8:54 ,7,7,0, (8:54 - 1st) Jahad Thomas 8 Yd Run (Austin Jones Kick) , 8 ,0,0,0,0,1, (8:54 - 1st) Jahad Thomas,0,0,0,0,9/17/2016,2016," University Park, PA 16802 ",home,PSU-8.5,51," 100,420",400869519
