,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Luke Otto kickoff for 65 yds for a touchback ,65,,,,,,,,,,,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
1,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass incomplete to Juwan Johnson ,0,1, Trace McSorley,0, Juwan Johnson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
2,2nd and 10 at PSU 25,2nd , 10 , PSU 25,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to Mike Gesicki for 5 yds to the PnSt 30 ,5,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
3,3rd and 5 at PSU 30,3rd , 5 , PSU 30,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to Juwan Johnson for 9 yds to the PnSt 39 for a 1ST down ,9,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
4,1st and 10 at PSU 39,1st , 10 , PSU 39,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Saquon Barkley run for 2 yds to the PnSt 41 ,2,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
5,2nd and 8 at PSU 41,2nd , 8 , PSU 41,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to Saquon Barkley for 8 yds to the PnSt 49 for a 1ST down ,8,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
6,1st and 10 at PSU 49,1st , 10 , PSU 49,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass complete to Juwan Johnson for 10 yds to the Nwest 41 for a 1ST down ,10,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
7,1st and 10 at NW 41,1st , 10 , NW 41,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass incomplete ,0,1, Trace McSorley,0,0,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
8,2nd and 10 at NW 41,2nd , 10 , NW 41,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley pass incomplete to Saeed Blacknall ,0,1, Trace McSorley,0, Saeed Blacknall ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
9,3rd and 10 at NW 41,3rd , 10 , NW 41,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley run for 2 yds to the Nwest 39 ,2,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
10,4th and 8 at NW 39,4th , 8 , NW 39,PSU, 1st,15:00 ,0,0,0, (15:00 - 1st) Trace McSorley run for 1 yd to the Nwest 38 ,1,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
11,1st and 10 at PSU 25,1st , 10 , PSU 25,PSU, 1st,14:52 ,0,0,0, (14:52 - 1st) Trace McSorley pass incomplete to Juwan Johnson ,0,1, Trace McSorley,0, Juwan Johnson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
12,2nd and 10 at PSU 25,2nd , 10 , PSU 25,PSU, 1st,14:44 ,0,0,0, (14:44 - 1st) Trace McSorley pass complete to Mike Gesicki for 5 yds to the PnSt 30 ,5,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
13,3rd and 5 at PSU 30,3rd , 5 , PSU 30,PSU, 1st,14:16 ,0,0,0, (14:16 - 1st) Trace McSorley pass complete to Juwan Johnson for 9 yds to the PnSt 39 for a 1ST down ,9,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
14,1st and 10 at PSU 39,1st , 10 , PSU 39,PSU, 1st,13:53 ,0,0,0, (13:53 - 1st) Saquon Barkley run for 2 yds to the PnSt 41 ,2,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
15,2nd and 8 at PSU 41,2nd , 8 , PSU 41,PSU, 1st,13:27 ,0,0,0, (13:27 - 1st) Trace McSorley pass complete to Saquon Barkley for 8 yds to the PnSt 49 for a 1ST down ,8,1, Trace McSorley,1, Saquon Barkley ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
16,1st and 10 at PSU 49,1st , 10 , PSU 49,PSU, 1st,13:02 ,0,0,0, (13:02 - 1st) Trace McSorley pass complete to Juwan Johnson for 10 yds to the Nwest 41 for a 1ST down ,10,1, Trace McSorley,1, Juwan Johnson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
17,1st and 10 at NW 41,1st , 10 , NW 41,PSU, 1st,12:43 ,0,0,0, (12:43 - 1st) Trace McSorley pass incomplete to Irvin Charles ,0,1, Trace McSorley,0, Irvin Charles ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
18,2nd and 10 at NW 41,2nd , 10 , NW 41,PSU, 1st,12:38 ,0,0,0, (12:38 - 1st) Trace McSorley pass incomplete to Saeed Blacknall ,0,1, Trace McSorley,0, Saeed Blacknall ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
19,3rd and 10 at NW 41,3rd , 10 , NW 41,PSU, 1st,12:29 ,0,0,0, (12:29 - 1st) Trace McSorley run for 2 yds to the Nwest 39 ,2,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
20,4th and 8 at NW 39,4th , 8 , NW 39,PSU, 1st,11:48 ,0,0,0, (11:48 - 1st) Trace McSorley run for 1 yd to the Nwest 38 ,1,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
21,1st and 10 at NW 38,1st , 10 , NW 38,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Justin Jackson run for 2 yds to the Nwest 40 ,2,0,0,0,0,1, Justin Jackson ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
22,2nd and 8 at NW 40,2nd , 8 , NW 40,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson pass complete to Flynn Nagel for 13 yds to the PnSt 47 for a 1ST down ,13,1, Clayton Thorson,1, Flynn Nagel ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
23,1st and 10 at PSU 47,1st , 10 , PSU 47,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson pass complete to Justin Jackson for 5 yds to the PnSt 42 ,5,1, Clayton Thorson,1, Justin Jackson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
24,2nd and 5 at PSU 42,2nd , 5 , PSU 42,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson pass incomplete to Bennett Skowronek ,0,1, Clayton Thorson,0, Bennett Skowronek ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
25,3rd and 5 at PSU 42,3rd , 5 , PSU 42,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson run for 6 yds to the PnSt 36 for a 1ST down ,6,0,0,0,0,1, Clayton Thorson ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
26,1st and 10 at PSU 36,1st , 10 , PSU 36,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Jeremy Larkin run for 2 yds to the PnSt 34 ,2,0,0,0,0,1, Jeremy Larkin ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
27,2nd and 8 at PSU 34,2nd , 8 , PSU 34,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Riley Lees run for no gain to the PnSt 34 ,0,0,0,0,0,1, Riley Lees ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
28,3rd and 8 at PSU 34,3rd , 8 , PSU 34,NW, 1st,11:48 ,0,0,0," (11:48 - 1st) Clayton Thorson pass incomplete to Jeremy Larkin, broken up by Kevin Givens ",0,1, Clayton Thorson,0," Jeremy Larkin, broken up by Kevin Givens ",0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
29,4th and 8 at PSU 34,4th , 8 , PSU 34,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson pass complete to Macan Wilson for 24 yds to the PnSt 10 for a 1ST down ,24,1, Clayton Thorson,1, Macan Wilson ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
30,1st and Goal at PSU 10,1st , Goal , PSU 10,NW, 1st,11:48 ,0,0,0," (11:48 - 1st) Jackson, Justin rush for no gain to the PSU10 (Farmer, Koa), PENALTY NU holding (Hance, Blake) 10 yards to the PSU20, NO PLAY. ",0,0,0,0,0,0,0,0,0,0,1,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
31,1st and Goal at PSU 20,1st , Goal , PSU 20,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson sacked by Curtis Cothran for a loss of 8 yards to the PnSt 28 ,-8,,,,,,,,,,,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
32,2nd and Goal at PSU 28,2nd , Goal , PSU 28,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Justin Jackson run for no gain to the PnSt 28 ,0,0,0,0,0,1, Justin Jackson ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
33,3rd and Goal at PSU 28,3rd , Goal , PSU 28,NW, 1st,11:48 ,0,0,0, (11:48 - 1st) Clayton Thorson pass intercepted Amani Oruwariye return for no gain to the PnSt 10 ,0,1, Clayton Thorson,interception,0,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
34,1st and 10 at NW 38,1st , 10 , NW 38,NW, 1st,11:39 ,0,0,0, (11:39 - 1st) Justin Jackson run for 2 yds to the Nwest 40 ,2,0,0,0,0,1, Justin Jackson ,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
35,2nd and 8 at NW 40,2nd , 8 , NW 40,NW, 1st,11:17 ,0,0,0, (11:17 - 1st) Clayton Thorson pass complete to Flynn Nagel for 13 yds to the PnSt 47 for a 1ST down ,13,1, Clayton Thorson,1, Flynn Nagel ,0,0,0,0,0,0,10/8/2017,2017," Evanston, IL 60208 ",road,PSU-14.5,52," 41,061",400935374
