,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,MINN, 1st,15:00 ,0,0,0, (15:00 - 1st) Joey Julius kickoff for 65 yds for a touchback ,65,,,,,,,,,,,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
1,1st and 10 at MINN 25,1st , 10 , MINN 25,MINN, 1st,15:00 ,0,0,0, (15:00 - 1st) Rodney Smith run for 3 yds to the Minn 28 ,3,0,0,0,0,1, Rodney Smith ,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
2,2nd and 7 at MINN 28,2nd , 7 , MINN 28,MINN, 1st,15:00 ,0,0,0, (15:00 - 1st) Mitch Leidner pass complete to Drew Wolitarsky for 7 yds to the Minn 35 for a 1ST down ,7,1, Mitch Leidner,1, Drew Wolitarsky ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
3,1st and 10 at MINN 35,1st , 10 , MINN 35,MINN, 1st,15:00 ,0,0,0, (15:00 - 1st) Rodney Smith run for 3 yds to the Minn 38 ,3,0,0,0,0,1, Rodney Smith ,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
4,2nd and 7 at MINN 38,2nd , 7 , MINN 38,MINN, 1st,15:00 ,0,0,0, (15:00 - 1st) Mitch Leidner pass incomplete ,0,1, Mitch Leidner,0,0,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
5,3rd and 7 at MINN 38,3rd , 7 , MINN 38,MINN, 1st,15:00 ,0,0,0, (15:00 - 1st) Mitch Leidner pass incomplete to Drew Wolitarsky ,0,1, Mitch Leidner,0, Drew Wolitarsky ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
6,4th and 7 at MINN 38,4th , 7 , MINN 38,MINN, 1st,15:00 ,0,0,0," (15:00 - 1st) Ryan Santoso punt for 50 yds , John Reid returns for a loss of 1 yard to the PnSt 11 ",-1,0,0,0,0,0,0,1,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
7,1st and 10 at PSU 11,1st , 10 , PSU 11,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 6 yds to the PnSt 17 ,6,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
8,2nd and 4 at PSU 17,2nd , 4 , PSU 17,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Trace McSorley pass complete to DeAndre Thompkins for 5 yds to the PnSt 22 for a 1ST down ,5,1, Trace McSorley,1, DeAndre Thompkins ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
9,1st and 10 at PSU 22,1st , 10 , PSU 22,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Saquon Barkley run for a loss of 6 yards to the PnSt 16 ,-6,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
10,2nd and 16 at PSU 16,2nd , 16 , PSU 16,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Trace McSorley pass complete to Chris Godwin for 9 yds to the PnSt 25 ,9,1, Trace McSorley,1, Chris Godwin ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
11,3rd and 7 at PSU 25,3rd , 7 , PSU 25,PSU, 1st,13:07 ,0,0,0," (13:07 - 1st) Trace McSorley pass incomplete to DaeSean Hamilton, broken up by Antoine Winfield Jr. ",0,1, Trace McSorley,0," DaeSean Hamilton, broken up by Antoine Winfield Jr. ",0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
12,4th and 7 at PSU 25,4th , 7 , PSU 25,PSU, 1st,13:07 ,0,0,0," (13:07 - 1st) Gillikin, Blake punt 34 yards to the MINN41, fair catch by Myrick, Jalen, PENALTY MINN personal foul (Rallis, Nick) 15 yards to the PSU40, 1ST DOWN PSU, NO PLAY. ",,0,0,0,0,0,0,0,0,0,1,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
13,1st and 10 at PSU 40,1st , 10 , PSU 40,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Trace McSorley pass incomplete to DaeSean Hamilton ,0,1, Trace McSorley,0, DaeSean Hamilton ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
14,2nd and 10 at PSU 40,2nd , 10 , PSU 40,PSU, 1st,13:07 ,0,0,0," (13:07 - 1st) Trace McSorley pass incomplete to DeAndre Thompkins, broken up by Antonio Shenault ",0,1, Trace McSorley,0," DeAndre Thompkins, broken up by Antonio Shenault ",0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
15,3rd and 10 at PSU 40,3rd , 10 , PSU 40,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Trace McSorley pass complete to Mike Gesicki for 4 yds to the PnSt 44 ,4,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
16,4th and 6 at PSU 44,4th , 6 , PSU 44,PSU, 1st,13:07 ,0,0,0, (13:07 - 1st) Blake Gillikin punt for 56 yds for a touchback ,56,0,0,0,0,0,0,1,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
17,1st and 10 at MINN 20,1st , 10 , MINN 20,MINN, 1st,10:18 ,0,0,0, (10:18 - 1st) Rodney Smith run for 6 yds to the Minn 26 ,6,0,0,0,0,1, Rodney Smith ,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
18,2nd and 4 at MINN 26,2nd , 4 , MINN 26,MINN, 1st,10:18 ,0,0,0, (10:18 - 1st) Rodney Smith run for 8 yds to the Minn 34 for a 1ST down ,8,0,0,0,0,1, Rodney Smith ,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
19,1st and 10 at MINN 34,1st , 10 , MINN 34,MINN, 1st,10:18 ,0,0,0, (10:18 - 1st) Mitch Leidner pass complete to Rodney Smith for 17 yds to the PnSt 49 for a 1ST down ,17,1, Mitch Leidner,1, Rodney Smith ,0,0,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
20,1st and 10 at PSU 49,1st , 10 , PSU 49,MINN, 1st,10:18 ,0,0,0, (10:18 - 1st) Mitch Leidner run for a loss of 2 yards to the Minn 49 ,-2,0,0,0,0,1, Mitch Leidner ,0,0,0,0,10/1/2016,2016," University Park, PA 16802 ",home,PSU-3.5,55," 95,332",400869666
