,Down and Distance text from ESPN,Down,Distance,Yardline,Poss,Quarter,Time,Team Score,Opp Score,Diff Score,Post Play Text from ESPN,Yards,"Pass: Yes=1, No=0",Passer,"Completed?: Yes=1, No=0",Targeted,"Run: Yes=1, No=0",Ball Carrier,"Punt: Yes=1, No=0","Field Goal: Yes=1, No=0","Kickoff Return: Yes=1, No=0","Penalty: Yes=1, No=0",Date,Season,Location,Home/Away,line,over/under,Attendance,Gameid
0,,,,,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Danny Sutton kickoff for 65 yds , Miles Sanders return for 16 yds to the PnSt 16 ",65,,,,,,,,,,,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
1,1st and 10 at PSU 16,1st , 10 , PSU 16,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley pass complete to DaeSean Hamilton for 21 yds to the PnSt 37 for a 1ST down ,21,1, Trace McSorley,1, DaeSean Hamilton ,0,0,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
2,1st and 10 at PSU 37,1st , 10 , PSU 37,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 3 yds to the PnSt 40 ,3,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
3,2nd and 7 at PSU 40,2nd , 7 , PSU 40,PSU, 1st,15:00 ,7,0,7," (15:00 - 1st) Saquon Barkley run for 17 yds to the PENNST 43 for a 1ST down MARYLAND Penalty, OFF ( Yards) declined for a 1ST down ",17,0,0,0,0,0,0,0,0,0,1,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
4,1st and 10 at MD 43,1st , 10 , MD 43,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Trace McSorley run for 17 yds to the Mary 26 for a 1ST down ,17,0,0,0,0,1, Trace McSorley ,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
5,1st and 10 at MD 26,1st , 10 , MD 26,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 20 yds to the Mary 6 for a 1ST down ,20,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
6,1st and Goal at MD 6,1st , Goal , MD 6,PSU, 1st,15:00 ,7,0,7, (15:00 - 1st) Saquon Barkley run for 1 yd to the Mary 5 ,1,0,0,0,0,1, Saquon Barkley ,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
7,2nd and Goal at MD 5,2nd , Goal , MD 5,PSU, 1st,12:33 ,7,0,7," (12:33 - 1st) Trace McSorley pass complete to Mike Gesicki for 5 yds for a TD, (Tyler Davis KICK) ",5,1, Trace McSorley,1, Mike Gesicki ,0,0,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
8,,,,,MD, 1st,12:33 ,7,0,7," (12:33 - 1st) Joey Julius kickoff for 65 yds , William Likely return for 25 yds to the Mary 25 ",65,,,,,,,,,,,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
9,1st and 10 at MD 25,1st , 10 , MD 25,MD, 1st,12:27 ,7,0,7, (12:27 - 1st) Perry Hills pass complete to D.J. Moore for 10 yds to the Mary 35 for a 1ST down ,10,1, Perry Hills,1, D.J. Moore ,0,0,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
10,1st and 10 at MD 35,1st , 10 , MD 35,MD, 1st,12:27 ,7,0,7, (12:27 - 1st) Ty Johnson run for 1 yd to the Mary 36 ,1,0,0,0,0,1, Ty Johnson ,0,0,0,0,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
11,2nd and 9 at MD 36,2nd , 9 , MD 36,MD, 1st,12:27 ,7,0,7, (12:27 - 1st) Perry Hills sacked by Garrett Sickels for a loss of 8 yards to the Mary 28 ,-8,,,,,,,,,,,10/8/2016,2016," University Park, PA 16802 ",home,MD-2.0,57," 100,778",400869669
